H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000003	0.09	0.1	0.1	0.13	0.11	0.14	0.13	0.08	0.1	0.07	0.13	0.1
ENSG00000000005	0.09	0.08	0.08	0.09	0.1	0.1	0.08	0.09	0.08	0.11	0.1	0.16
ENSG00000000419	6.73	9.15	9.99	7.61	8.75	9.04	10.02	7.85	6.63	9.4	10.04	8.67
ENSG00000000457	12.03	9.94	7.71	6.85	7.18	8.73	9.61	8.65	7.04	8.32	10.1	9.42
ENSG00000000460	8.16	6.84	7.03	7.29	6.87	6.78	7.58	6.26	7.94	11.08	6.29	6.66
ENSG00000000938	0.08	0.06	0.07	0.06	0.06	0.05	0.05	0.28	3.14	4.9	7.64	6.49
ENSG00000000971	1.77	0.08	0.07	0.09	0.09	0.11	0.13	0.12	2.44	2.85	4.74	3.87
ENSG00000001036	0.19	0.4	0.29	0.3	0.31	0.34	0.4	0.25	0.23	0.46	2.76	1.13
ENSG00000001084	5.36	6.69	5.87	5.87	6.5	6.16	5.99	6.71	5.02	5.44	7.04	8.34
ENSG00000001167	10.58	11.68	11.42	12.33	12.62	11.73	11.01	11.15	8.97	9.94	11.23	8.63
ENSG00000001460	0.12	0.16	0.11	0.14	0.14	0.13	0.13	0.13	0.12	0.13	0.14	0.15
ENSG00000001461	5.17	5.27	4.65	4.56	5.23	3.94	4.18	3.3	2.68	3.58	3.49	5.54
ENSG00000001497	5.78	4.34	4.43	5.54	5.16	5.36	4.74	4.97	4.53	4.13	3.23	4.47
ENSG00000001561	0.09	0.1	0.09	0.1	0.08	0.13	0.14	0.08	0.12	0.09	0.08	0.08
ENSG00000001617	7.48	4.69	5.04	5.07	4.9	3.9	3.34	3.51	2.91	0.36	0.19	0.13
ENSG00000001626	0.07	0.08	0.08	0.08	0.08	0.08	0.09	0.07	0.07	0.07	0.08	0.09
ENSG00000001629	7.04	6.97	9.13	6.08	6.11	5.79	6.45	7.22	6.88	6.98	7.09	8.49
ENSG00000001630	9.17	10.23	8.31	8.67	6.85	7.41	9.97	6.28	9.08	6.56	9.41	8.63
ENSG00000001631	8.9	9.44	7.64	8.53	8.85	8.12	9.71	7.43	7.54	8.35	9.02	8.17
ENSG00000002016	7.11	8.83	6.82	6.36	7.11	6.85	7.14	8.05	8.84	6.14	7.09	8.01
ENSG00000002330	7.09	5.06	6.34	4.48	3.99	3.51	3.56	4.18	3.37	3.25	3.96	5.55
ENSG00000002549	9.16	8.84	7.73	8.49	9.02	10.14	9.24	9.15	11.17	11	11.91	11.56
ENSG00000002586	7.54	8.99	7.49	8	7.7	9	9.2	10.64	11.13	8.12	9.64	9.3
ENSG00000002587	0.16	0.16	0.15	1.47	0.12	0.15	0.13	0.14	0.15	3.89	7.21	6.65
ENSG00000002726	0.1	0.1	0.1	0.12	0.11	0.09	0.09	0.11	0.1	0.1	0.1	0.14
ENSG00000002745	5.39	5.9	4.19	4.1	3.72	3.82	5.43	1.95	0.27	0.19	0.16	0.16
ENSG00000002746	4.69	5	4.66	4.57	4.53	3.97	4.12	3.55	4.61	0.24	0.21	2.61
ENSG00000002822	9.59	9.85	10.87	9.54	8.14	9.08	7.89	8.59	9.5	9.53	8.82	8.44
ENSG00000002834	6.47	6.13	7.33	6.59	6.92	7.25	6.4	7.6	8.12	9.18	9.59	8.09
ENSG00000002919	7.83	6.87	7.03	7.3	7.67	8.47	6.58	7.8	9.49	13.45	11.4	12.51
ENSG00000002933	0.16	0.15	0.17	0.12	0.12	0.16	0.14	0.12	0.15	0.18	0.11	0.19
ENSG00000003056	8.88	9.43	8.65	10.47	10.53	12.63	9.67	11.04	10.47	12.44	13.4	11.74
ENSG00000003096	0.07	0.09	0.08	0.08	0.08	0.09	0.1	0.08	0.08	0.08	0.09	0.09
ENSG00000003137	0.09	0.07	0.06	0.05	0.06	0.04	0.06	0.07	0.07	0.07	0.05	0.09
ENSG00000003147	0.12	0.16	2.48	0.14	0.14	0.15	0.19	0.17	0.16	0.24	2.31	2.89
ENSG00000003249	0.11	0.05	0.06	0.06	0.08	0.09	0.07	0.1	0.1	0.1	0.15	0.16
ENSG00000003393	7.49	7.9	8.32	6.09	7.72	7.47	6.58	6.13	7.56	7.27	8.2	11.11
ENSG00000003400	4.19	5.4	4.56	4.82	5.58	5.63	4.83	4.55	6.23	4.58	6.03	5.86
ENSG00000003402	9.98	7.65	8.5	6.94	7.27	7.4	8.35	9.22	9.53	11.17	14.07	12.35
ENSG00000003436	0.08	0.11	0.08	0.09	0.08	0.09	0.1	0.09	1.19	0.08	0.09	0.1
ENSG00000003509	6.74	9.82	6.04	5.64	6.23	6.72	6.87	4.63	4.83	8.26	6.8	6.71
ENSG00000003756	14.73	14.02	13.15	14.04	14.93	13.87	12.61	12.3	12.75	12.01	13.57	14.08
ENSG00000003987	6.83	6.76	6.25	6.67	6.83	7.16	8.04	5.17	5.08	9.01	9.25	7.88
ENSG00000003989	7.77	8.87	7.78	7.9	8.93	9.12	8.32	9.82	7.94	9.13	6.83	5.64
ENSG00000004059	8.36	7.89	8	7.91	7.35	8.36	5.04	7.97	8.12	6.61	11	9.06
ENSG00000004139	4.84	4.92	5.57	4.92	5.99	5.2	6.09	5.55	6.08	4.08	4.89	6.59
ENSG00000004142	9.15	8.14	9.15	9.88	9.33	10.07	7.3	10.86	7.78	8.56	9.04	8.14
ENSG00000004399	8.45	5.47	6.5	6.85	6.15	7.79	5.49	9.27	7.54	9.44	11.18	11.11
