class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	10.3925028494238	ns	11.5474	0.242967570324	0.260353099113626	-0.321975974165217	0.307436866132663	0.433764486059822	0.0370237007569238	0.909053305868988	0.937366692475316	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	9.26968658287967	ns	11.1835	0.171408285917	0.189140990692015	-0.399780991536759	0.197885767746721	0.311590448193257	0.390148916196657	0.209913880830594	0.303679334228686	stable
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	2.79738538271708	ns	10.1369	0.0317596824032	0.0365644341260323	-0.112311224264515	0.728205098312653	0.810452767249312	0.613497236463886	0.0338671923454766	0.0723377830439502	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	1.39071250107694	significant	2.9305	9.999900001e-06	1.25759168874288e-05	0.862607835447459	0.000304739847008535	0.00255148049358607	0.812047859478509	0.00133463765125479	0.00613252543551059	positively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.0970960084494965	significant	5.6152	9.999900001e-06	1.25759168874288e-05	0.647724339661064	0.0227590507922258	0.0617445228753426	0.608997907321649	0.0355717118543589	0.0752317913556425	not_correlated
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.126007109004739	ns	4.3132	9.999900001e-06	1.25759168874288e-05	0.607802198849884	0.03603481052318	0.0865115879097356	0.527552242529328	0.0779469111297504	0.13880621169071	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	10.2290988458124	ns	6.098	9.999900001e-06	1.25759168874288e-05	0.333254735977889	0.289812379425724	0.416578404776682	0.65382871142982	0.0210996920063722	0.050388197895612	stable
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	2.16300299039924	ns	4.3735	9.999900001e-06	1.25759168874288e-05	0.562808675604513	0.0567630285723137	0.122194377933046	0.332477635155378	0.291007952000849	0.393582158545841	stable
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	8.2431287735424	ns	3.5622	9.999900001e-06	1.25759168874288e-05	0.686119580121712	0.0137499194136987	0.0425658446998368	0.68993743607541	0.0130272886051907	0.0344192201421988	stable
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	2.82016396814669	significant	1.4339	9.999900001e-06	1.25759168874288e-05	0.957515986787273	1.01478979823628e-06	7.60712988004972e-05	0.862255206228119	0.000308479377088473	0.00209814726453415	positively_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	6.63736121031102	ns	9.3212	9.999900001e-06	1.25759168874288e-05	0.38500340707506	0.21651723937326	0.332889548976983	0.0925276768752698	0.774874510953243	0.835838209287926	stable
