H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000004766	0.05	0.04	0.05	0.05	0.05	0.06	0.05	0.05	0.03	0.03	0.05	0.04
ENSG00000004776	0.07	0.03	0.07	0.04	0.05	0.05	0.06	0.04	0.03	0.06	0.03	0.08
ENSG00000004777	0.04	0.07	0.07	0.06	0.08	0.04	0.07	0.06	0.04	0.04	0.06	0.06
ENSG00000004779	0.08	0.07	0.13	0.09	0.13	0.07	0.07	0.1	0.1	0.07	0.05	0.08
ENSG00000004799	2.52	3.36	2.8	2.8	3.12	2.14	3.31	2.92	3.16	3.12	3.33	0.82
ENSG00000004809	2.52	3.17	4.31	1.74	4.08	2.9	3.5	2.05	0.35	0.2	0.19	0.12
ENSG00000004838	0.05	0.06	0.04	0.07	0.05	0.05	0.03	0.04	0.05	0.06	0.04	0.04
ENSG00000004846	0.09	0.1	0.1	0.18	0.13	0.15	0.18	0.09	0.1	0.11	0.2	0.13
ENSG00000004848	4.12	2.65	3.6	3.25	3.88	4.17	3.93	3.87	3.8	4.94	3.53	4.84
ENSG00000004864	0.13	0.14	0.21	0.15	0.13	0.19	0.1	0.14	0.18	0.16	0.33	0.16
ENSG00000004866	0.09	0.09	0.1	0.07	0.09	0.08	0.06	0.05	0.04	0.06	0.07	0.1
ENSG00000004897	2.11	3.07	3.08	4.67	0.49	2.57	2.49	0.23	1.86	1.3	0.11	0.08
ENSG00000004939	0.12	0.05	0.04	0.05	0.05	0.11	0.06	0.05	0.06	0.08	0.07	0.07
ENSG00000004948	3.9	0.92	1.95	0.81	2.52	0.85	2.6	3.24	1.58	0.62	1.12	1.34
ENSG00000004961	3.72	0.59	2.05	0.5	2.8	0.32	3.23	2	2.88	3.61	1.7	4.18
ENSG00000004975	0.12	0.06	0.08	0.12	0.09	0.05	0.03	0.07	0.06	0.1	0.07	0.04
ENSG00000005001	2.66	2.48	4.64	4.5	5.08	4.35	3.06	3.27	3.07	3.31	3.12	3.63
ENSG00000005007	0.14	0.06	0.1	0.11	0.09	0.1	0.06	0.1	0.12	0.11	0.06	0.08
ENSG00000005020	0.72	3.21	1.76	2.93	2.29	4.17	2.77	1.5	0.88	1	2.48	2.55
ENSG00000005022	2.49	3.2	2.83	3.7	3.73	4.05	1.16	3.21	2.42	3.14	2.61	2.75
ENSG00000005059	3.69	3.43	3.18	3.12	2.22	3.39	0.11	6.39	3.34	1.74	2.23	2.3
