class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	4.63670902106463	ns	NA	NA	NA	-0.803183072278301	0.00165394506482403	0.00817303315109967	-0.294155225931011	0.353377953318499	0.457184725849888	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	0.210139570311625	ns	NA	NA	NA	0.407737056590551	0.188277208401584	0.280702930461329	0.537820143324056	0.0712963388140236	0.134032162003766	stable
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	0.00931932484354988	ns	NA	NA	NA	0.0022403844178054	0.994486590869991	0.995974971898981	-0.114280581003864	0.723602725904913	0.787262143800353	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	0.470750409235806	ns	NA	NA	NA	0.331725601362036	0.292167607269392	0.394369790951961	0.3690710512942	0.23775024307989	0.336589173605675	stable
ENSG00000000971	upregulation	NA	NA	NA	upregulation	no	0	significant	NA	NA	NA	0.398986751468526	0.19886117910767	0.293377782148556	NA	NA	NA	no_peak
ENSG00000001036	upregulation	NA	NA	NA	upregulation	no	0	significant	NA	NA	NA	0.495743041152843	0.101207055043041	0.173800823780073	NA	NA	NA	no_peak
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	8.78092630955904	significant	NA	NA	NA	0.879139153853477	0.000165244844358194	0.00177101240787667	0.807221832500308	0.0015019414841805	0.0095007767512586	positively_correlated
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	0.168354231152615	ns	NA	NA	NA	0.153643256200261	0.63354443691839	0.718553930572694	0.373221856952572	0.232103912517308	0.330955269633696	stable
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	2.43236910876814	significant	NA	NA	NA	0.917719867209877	2.5835600131802e-05	0.000646292426973115	0.749090729074302	0.00504705246251478	0.0211964341962724	positively_correlated
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	1.61006141459258	significant	NA	NA	NA	0.737871563346943	0.00615232310286125	0.0209335400491423	0.596402288150782	0.0406684270457167	0.0888169619684641	not_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	0.420719433803	ns	NA	NA	NA	0.391626891918895	0.208040071781683	0.303848995345019	0.482635660910409	0.11200857707245	0.189320716224609	stable
ENSG00000002549	upregulation	NA	NA	NA	upregulation	yes	3.26902959617946	ns	NA	NA	NA	0.570449455733503	0.0527675850244463	0.104908073222655	0.760005376462703	0.00412253570073762	0.0184289463345044	stable
ENSG00000002586	variable	variable	cluster_3	bending	bending	yes	3.25343599768606	significant	NA	NA	NA	0.527576635525721	0.077930628137534	0.140973855360306	0.364689206597423	0.243798397187788	0.343518813936193	not_correlated
ENSG00000002745	downregulation	NA	NA	NA	downregulation	yes	3.85982971152624	significant	NA	NA	NA	0.881084029042365	0.000152888691646987	0.00168871553497291	0.885772852427907	0.00012605836519413	0.00212515376039538	positively_correlated
ENSG00000002834	upregulation	NA	NA	NA	upregulation	yes	5.46297580520882	significant	NA	NA	NA	0.929962173370569	1.17904917600871e-05	0.000444496003913143	0.736339296446788	0.00631633326151834	0.0245063910733999	positively_correlated
ENSG00000002919	upregulation	NA	NA	NA	upregulation	yes	1.72933360381377	significant	NA	NA	NA	0.695348314602475	0.0120517605021762	0.0344775139414266	0.566183690338727	0.0549730553949061	0.110192764992369	not_correlated
ENSG00000003056	upregulation	NA	NA	NA	upregulation	yes	8.21348900239758	significant	NA	NA	NA	0.904553324396355	5.30499614581275e-05	0.000963780974001728	0.565362601536493	0.055404845861743	0.11074771762297	not_correlated
ENSG00000003147	variable	variable	cluster_2	upregulation	upregulation	no	0	significant	NA	NA	NA	0.746690042975523	0.00526982563622745	0.0186581569042797	NA	NA	NA	no_peak
ENSG00000003400	upregulation	NA	NA	NA	upregulation	yes	0.0345398271933972	significant	NA	NA	NA	0.84042773813648	0.000619294893358613	0.00414757130414484	0.603291386971217	0.0378206426901147	0.0842186772426604	not_correlated
ENSG00000003402	upregulation	NA	NA	NA	upregulation	yes	1.29676152119371	significant	NA	NA	NA	0.751939860232541	0.00479197593154665	0.0173331381668106	0.779100634461162	0.00282008347951286	0.0142941844073876	positively_correlated
ENSG00000003509	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.436136499334038	ns	NA	NA	NA	0.394371213545268	0.204587867589633	0.299952634059659	0.647161921408178	0.0229165646272287	0.059157675679101	stable
ENSG00000003989	variable	variable	cluster_1	downregulation	downregulation	yes	0.143387856190295	significant	NA	NA	NA	0.792976565611941	0.00209079065562992	0.00964333656789676	0.835950109671623	0.00070556706249407	0.00585759972439908	positively_correlated
ENSG00000004139	variable	variable	cluster_1	downregulation	downregulation	yes	2.07353756235199	ns	NA	NA	NA	0.801803633329812	0.00170847465660817	0.00835000090843798	0.550027333727845	0.0639102224701692	0.123134843724197	stable
ENSG00000004142	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.57558476705973	significant	NA	NA	NA	0.53171420524812	0.0752021837025571	0.137243985257167	0.601417358255817	0.0385807902010885	0.0855117793356219	not_correlated
ENSG00000004399	bending	H006	NA	NA	bending	yes	4.01727209356363	ns	NA	NA	NA	0.500840829420364	0.0972013645695927	0.168358523166121	0.705464664965159	0.0103744866004987	0.0348154132489975	stable
ENSG00000004455	downregulation	NA	NA	NA	downregulation	yes	2.47057776804413	significant	NA	NA	NA	0.360876019273245	0.249134759528869	0.349258400666344	0.594984949010083	0.0412726758769273	0.0897526885209237	not_correlated
ENSG00000004468	downregulation	NA	NA	NA	downregulation	yes	0.222717327498799	ns	NA	NA	NA	0.565870226112595	0.0551376200451689	0.108412117767558	0.559641243680106	0.05847951828651	0.115249957736965	stable
ENSG00000004478	peaking	H009	NA	NA	peaking	yes	7.20246394804699	ns	NA	NA	NA	0.77263988315602	0.00321924536591085	0.0130558284284162	0.849417442493351	0.0004708642200159	0.00454230304899667	stable
ENSG00000004487	downregulation	NA	NA	NA	downregulation	yes	7.21761464462501	significant	NA	NA	NA	0.700495824732112	0.0111750021149824	0.0327562629393212	0.877158614327659	0.000178616029079963	0.00251801275532782	positively_correlated
ENSG00000004534	high_expression	flat	cluster_3	bending	bending	yes	5.00563612619424	ns	NA	NA	NA	0.0559403235736852	0.862907144383297	0.90135414089985	0.263182330781438	0.408532211961364	0.511326956942712	stable
ENSG00000004700	high_expression	flat	cluster_2	upregulation	upregulation	yes	0.192344088647395	ns	NA	NA	NA	0.450770292968611	0.141370928880327	0.224838296476337	0.410196037453569	0.185367115002609	0.278011778858298	stable
ENSG00000004766	upregulation	NA	NA	NA	upregulation	yes	0.46716155984532	significant	NA	NA	NA	0.891103856968037	0.000100188164966984	0.00135121337382221	0.865922351315781	0.000271287809995856	0.00330915574377198	positively_correlated
ENSG00000004777	downregulation	NA	NA	NA	downregulation	yes	0.663004688265342	ns	NA	NA	NA	0.396451219900194	0.201994795981329	0.29690979530113	0.22972822344737	0.472592281890073	0.573821917946364	stable
ENSG00000004779	variable	variable	cluster_1	downregulation	downregulation	yes	8.68309996743732	significant	NA	NA	NA	0.9079757145124	4.44592142478623e-05	0.000854084905287881	0.840998681488741	0.000608911021236866	0.00541023539406207	positively_correlated
ENSG00000004809	variable	variable	cluster_1	downregulation	downregulation	yes	0.0114522182658069	ns	NA	NA	NA	0.0544350352362365	0.866566638020906	0.903931475404925	0.0958345222513822	0.767021516173627	0.824873351592365	stable
ENSG00000004864	high_expression	flat	cluster_3	bending	bending	yes	1.45800483340597	significant	NA	NA	NA	0.549123454374858	0.0644381211743799	0.121664263585768	0.76093944005866	0.00404985513839231	0.0182294486959876	not_correlated
ENSG00000004866	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	0.210336408226362	ns	NA	NA	NA	-0.0972501050277697	0.76366592976949	0.825334780087349	0.794168950212794	0.0020356507399869	0.0115850569183331	stable
ENSG00000004897	high_expression	flat	cluster_1	downregulation	downregulation	yes	3.57243446737312	significant	NA	NA	NA	-0.524556236847201	0.0799645340102715	0.143972019753919	0.0577711664756612	0.858459536080993	0.895413507063613	not_correlated
ENSG00000004961	high_expression	flat	cluster_2	upregulation	upregulation	yes	3.68475123110885	ns	NA	NA	NA	-0.344260539702692	0.273179460638429	0.37497966990198	-0.536233746381121	0.0722974031034018	0.135354069508412	stable
ENSG00000005007	variable	variable	cluster_1	downregulation	downregulation	yes	11.5140912972809	significant	NA	NA	NA	0.728970292229293	0.00715145190436837	0.0234488194332699	0.322225703962721	0.307040323710564	0.40953988316535	not_correlated
ENSG00000005022	variable	variable	cluster_1	downregulation	downregulation	yes	7.83561643835616	ns	NA	NA	NA	0.549486565791849	0.0642256895576317	0.121445508188411	0.36257407927758	0.24675001160415	0.346993720823621	stable
ENSG00000005059	bending	H009	NA	NA	bending	yes	0.274373259052925	significant	NA	NA	NA	0.676738759902283	0.0156509085581111	0.0418464968143753	0.621453905257153	0.0309973407454079	0.0736334620030492	not_correlated
ENSG00000005100	variable	variable	cluster_1	downregulation	downregulation	yes	6.68137411630964	significant	NA	NA	NA	0.833541879666222	0.00075565645104216	0.00474790091114668	0.833800850550166	0.000750141952434022	0.00613283340674976	positively_correlated
ENSG00000005156	downregulation	NA	NA	NA	downregulation	yes	0.0969230769230769	ns	NA	NA	NA	0.331940469752116	0.291836009009817	0.393988425075459	0.3090253339915	0.328389526089218	0.430860560294738	stable
ENSG00000005175	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.6515743199518	significant	NA	NA	NA	0.849392766163481	0.000471229604727359	0.00348162537165664	0.917580173589085	2.60494008176839e-05	0.00088246974902751	positively_correlated
ENSG00000005194	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.306559917355372	ns	NA	NA	NA	-0.195641938207364	0.542277432753101	0.637179950981475	0.402903726620686	0.194079256636435	0.287996372521743	stable
ENSG00000005206	variable	variable	cluster_1	downregulation	downregulation	yes	4.84682345754429	ns	NA	NA	NA	0.378978901891829	0.224406239057807	0.322155122747141	-0.040105632029958	0.901513908098711	0.92773127196798	stable
ENSG00000005238	variable	variable	cluster_2	upregulation	upregulation	yes	3.2125102207686	significant	NA	NA	NA	0.453897057103171	0.138291100948226	0.220858699406176	0.810513355163983	0.00138619472880727	0.00906543451190701	not_correlated
ENSG00000005249	peaking	H006	NA	NA	peaking	yes	0.0163618207113167	ns	NA	NA	NA	-0.0716980292884233	0.82475942447373	0.872801552256728	0.214017424896943	0.504184439919399	0.602761394304042	stable
ENSG00000005302	variable	variable	cluster_2	upregulation	upregulation	yes	2.30110826939471	ns	NA	NA	NA	0.164775137309372	0.608824196361683	0.696418560795486	0.459639939474865	0.132748214678538	0.215264119446958	stable
ENSG00000005379	downregulation	NA	NA	NA	downregulation	yes	1.69534740130026	significant	NA	NA	NA	-0.190904795582104	0.552288487250641	0.646106723866936	-0.0738517052658781	0.819570761821466	0.866354895814824	not_correlated
ENSG00000005381	peaking	H024	NA	NA	peaking	no	0	ns	NA	NA	NA	-0.27367468152679	0.389387215783158	0.493961981475317	NA	NA	NA	no_peak
ENSG00000005436	variable	variable	cluster_1	downregulation	downregulation	yes	0.0406509577894558	ns	NA	NA	NA	0.209134600059543	0.514189302167324	0.611604221064081	0.343011870191502	0.275038348971046	0.377418721145141	stable
ENSG00000005469	variable	variable	cluster_3	bending	bending	no	0	significant	NA	NA	NA	0.385981794207185	0.215252105064107	0.312837105683895	NA	NA	NA	no_peak
ENSG00000005471	variable	variable	cluster_1	downregulation	downregulation	no	0	significant	NA	NA	NA	0.104622254218284	0.746251955303152	0.811538895054755	NA	NA	NA	no_peak
ENSG00000005486	variable	variable	cluster_3	bending	bending	yes	0.674214786832164	significant	NA	NA	NA	0.574837988122795	0.0505641024330748	0.10167468315021	0.596510367331713	0.0406226093786183	0.0887711439432478	not_correlated
ENSG00000005700	variable	variable	cluster_2	upregulation	upregulation	yes	0.0260505066090624	significant	NA	NA	NA	0.547504622236342	0.0653911056734251	0.122972032449087	0.330877959013084	0.293477814280686	0.396031605904917	not_correlated
ENSG00000005801	downregulation	NA	NA	NA	downregulation	yes	0.640933887192833	significant	NA	NA	NA	0.710978987356563	0.00953690813484838	0.0290405785563308	0.582915489978363	0.0466786980327186	0.0977613048748528	not_correlated
ENSG00000005810	variable	variable	cluster_1	downregulation	downregulation	yes	1.17436861711922	ns	NA	NA	NA	0.196296291075175	0.540900593213684	0.636134202804233	0.420690643149403	0.173262584039394	0.264151802526813	stable
ENSG00000005812	variable	variable	cluster_3	bending	bending	yes	5.84395051737095	significant	NA	NA	NA	0.806697855592451	0.00152103115935726	0.00767685745420415	0.211256631065707	0.509830649336673	0.607705875651002	not_correlated
ENSG00000005844	upregulation	NA	NA	NA	upregulation	yes	0.640357821405953	ns	NA	NA	NA	0.00338134379784247	0.99167885110111	0.99390678661282	0.531310595318401	0.0754654146469842	0.139675500750037	stable
ENSG00000005882	variable	variable	cluster_2	upregulation	upregulation	yes	0.964285714285714	ns	NA	NA	NA	0.44683457385814	0.145309983062256	0.229862507670838	0.24786844249316	0.437297354267335	0.539862087789795	stable
ENSG00000005893	upregulation	NA	NA	NA	upregulation	yes	2.13765377115482	significant	NA	NA	NA	0.905108908490955	5.15733622640382e-05	0.00094855874551742	0.908860986933343	4.2426279512077e-05	0.00114267688578962	positively_correlated
ENSG00000006007	upregulation	NA	NA	NA	upregulation	yes	0.385784816933079	significant	NA	NA	NA	0.54690261755148	0.0657479692702984	0.123469642946795	0.700196402632189	0.0112246628963482	0.0364865349627544	not_correlated
ENSG00000006025	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	1.43524856530457	ns	NA	NA	NA	0.30552134199728	0.334188834197783	0.437516937319058	3.91053325386696e-05	0.999903764220902	0.999903764220902	stable
ENSG00000006042	downregulation	NA	NA	NA	downregulation	yes	0.0426818631156597	ns	NA	NA	NA	0.413375314224307	0.181646225378958	0.272435410869076	0.270536293403998	0.395064919425561	0.498494460693274	stable
ENSG00000006062	variable	variable	cluster_1	downregulation	downregulation	yes	4.03518175074184	significant	NA	NA	NA	-0.536550464210306	0.0720967782722125	0.132783745304098	-0.125091542975002	0.69849053201419	0.76668722358877	not_correlated
ENSG00000006118	downregulation	NA	NA	NA	downregulation	yes	2.9517996377097	significant	NA	NA	NA	-0.691612290066625	0.0127193080445582	0.0357281587034965	-0.559878261488692	0.0583498387654729	0.115184934409169	not_correlated
ENSG00000006194	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.792989734588586	significant	NA	NA	NA	0.814485543958769	0.00125578085485957	0.00674518090330124	0.727131977952967	0.00737210077476745	0.0271994685561643	positively_correlated
ENSG00000006282	upregulation	NA	NA	NA	upregulation	yes	0.102149277061352	ns	NA	NA	NA	0.459247524631563	0.133122290019556	0.214008406177585	0.532687725100742	0.0745698506680434	0.138592119754335	stable
ENSG00000006451	high_expression	flat	cluster_3	bending	bending	yes	2.80593558753338	significant	NA	NA	NA	0.802277646668805	0.00168958367474239	0.00829300544509865	0.849648649580331	0.000467451387079085	0.00453986754733872	positively_correlated
ENSG00000006459	upregulation	NA	NA	NA	upregulation	yes	5.99707443926753	significant	NA	NA	NA	0.890335780114154	0.00010363316085064	0.0013800568517921	0.838856877904341	0.000648573272097952	0.00559903592869102	positively_correlated
ENSG00000006530	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.0659356500345968	ns	NA	NA	NA	0.326383185727348	0.300480597579831	0.403178889544383	0.468694286892381	0.124306171141282	0.204638005264017	stable
ENSG00000006534	upregulation	NA	NA	NA	upregulation	yes	1.15672542864042	significant	NA	NA	NA	0.908501127854346	4.3243638697902e-05	0.000838759465565587	0.568398709338927	0.0538199694838494	0.108459301344955	not_correlated
ENSG00000006576	variable	variable	cluster_3	bending	bending	yes	0.0373443721961792	ns	NA	NA	NA	0.690454449415401	0.0129316354530562	0.0362194044953056	0.5483170724383	0.0649116177516365	0.124761560550873	stable
ENSG00000006607	variable	variable	cluster_1	downregulation	downregulation	yes	2.79327412174691	ns	NA	NA	NA	0.125396247446224	0.697786627113567	0.771263126733922	0.291584905911318	0.35779674711077	0.461564906758308	stable
