class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	2.06228346763206	ns	15.1528	0.954790452095	1	-0.266057406171784	0.403240006620885	0.619242159718054	0.0620474738221797	0.84808614554292	0.886898375387462	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	1.09200849111221	ns	10.2955	0.0466695333047	0.0744746328371902	-0.019575924733559	0.951849479597197	0.977910865041644	0.0369106628510143	0.909329967595255	0.934644476294904	stable
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	1.21179034801158	ns	9.62	9.999900001e-06	1.73582354102962e-05	-0.296683301435509	0.349060231511528	0.567386429149876	0.505795727622819	0.0934112118214326	0.153725632330979	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	8.13270405330372	significant	3.6798	9.999900001e-06	1.73582354102962e-05	0.745393961104324	0.00539313695079724	0.038843684269885	0.956932392612314	1.08535732427629e-06	3.26094760929522e-05	positively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.21274852243744	ns	2.1236	9.999900001e-06	1.73582354102962e-05	0.788932251904045	0.00228636175331774	0.0213482382315598	0.715166647067116	0.00893533430976744	0.0242708757222055	stable
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.906779661016949	ns	3.5779	9.999900001e-06	1.73582354102962e-05	0.659171227559758	0.0197213880140635	0.0926805055359218	0.899678710947913	6.74811171681695e-05	0.000616451213535111	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	3.15469137503444	significant	3.8955	9.999900001e-06	1.73582354102962e-05	0.694072121087661	0.0122767955075218	0.0675457896644916	0.739305784448331	0.00600172977155015	0.0178529634196615	positively_correlated
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	1.00765422503084	significant	6.6442	9.999900001e-06	1.73582354102962e-05	-0.0828517852267367	0.797961586495861	0.898461290991556	-0.2096931472619	0.51304046898477	0.60313995453462	not_correlated
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	2.01454906175085	ns	17.2144	1	1	-0.552531637183788	0.0624632723955043	0.194637205019751	-0.402822054127153	0.194178233469659	0.27728629744214	stable
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	5.80919208459382	significant	3.5963	9.999900001e-06	1.73582354102962e-05	0.699588252558705	0.0113260320677105	0.0647316992909006	0.737948536944378	0.0061441694347524	0.0181840416713053	positively_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	1.49545759404914	ns	14.1518	0.235157648424	0.316036136710413	-0.428957577323974	0.164085670153728	0.3617814199161	-0.109401812670049	0.735019439403537	0.795008179350704	stable
ENSG00000002549	upregulation	NA	NA	NA	upregulation	yes	4.00607058967085	significant	18.9135	1	1	-0.730705169940337	0.00694779687587465	0.0468436682731095	0.909141325689428	4.17979987081074e-05	0.000435168459134669	negatively_correlated
ENSG00000002586	variable	variable	cluster_3	bending	bending	yes	7.92873721969653	ns	13.7886	0.620043799562	0.702051848629845	-0.794510275660865	0.00202007348777616	0.0194596987852733	-0.544973095402273	0.0669008406277844	0.117777969979378	stable
