H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000419	61.53	95.85	85.65	84.16	65.62	63.73	60.83	61.13	63.34	88.08	96.06	74.48
ENSG00000000457	79.57	81.9	83	79.12	75.82	74.57	78.72	81.03	77.88	98.92	111.51	113.98
ENSG00000000460	0.11	0.06	0.12	0.06	0.15	0.09	0.11	0.14	0.1	0.16	0.05	0.08
ENSG00000000938	12.25	5.62	5.66	10.56	12.78	12.86	21.02	20.64	27.53	31.72	28.01	24.38
ENSG00000000971	0.34	4.09	2.64	1.8	3.65	5.04	5.07	4.44	7	4.8	3.29	2.62
ENSG00000001036	9.01	0.52	5.02	3.15	3.51	5.18	5.05	6.14	8	7.59	14.56	11.9
ENSG00000001167	75.44	64.49	64.89	79.75	80.25	83.17	80.27	77.21	70.79	78.88	83.16	81.02
ENSG00000001461	0.58	2.75	4.06	3.69	3.34	3.74	3.33	2.66	1.53	2.72	0.83	0.72
ENSG00000001497	21.6	29.23	28.85	17.7	22.34	22.36	19.04	22.58	14.43	17.03	14.05	16.73
ENSG00000001617	29.47	22.84	16.25	14.69	13.17	13.86	15.53	17.97	19.46	12.92	11.62	2.05
ENSG00000001630	29.27	33.19	33.69	35.96	37	29.23	32.59	31.6	37.08	36.98	37.23	43.05
ENSG00000002549	23.24	27.18	31.55	37.99	37.84	42.7	46.66	45.03	60.93	61.48	42.78	46.95
ENSG00000002586	60.18	78.76	43.05	67.69	67.34	71.62	56.25	49.78	47.47	54.84	42.76	40.76
ENSG00000002745	12.09	3.62	2.65	2.89	3.67	3.57	2.07	1.65	1.34	1.33	0.36	0.14
ENSG00000002834	19.02	20.12	28.34	37.41	35.77	34.39	34.74	27.82	23.77	29.21	22.59	40.81
ENSG00000002919	15.69	10.4	16.7	19	15.68	12.16	12.06	8.14	4.69	9.33	16.12	17.7
ENSG00000003056	35.39	35.39	37.69	48.11	42.33	48.91	58.76	58.3	56.9	71.86	65.87	47.69
ENSG00000003147	0.33	0.62	0.36	0.33	2.47	3.36	0.78	2.58	3.37	6.89	5.26	7.56
ENSG00000003400	9.1	8.67	9.6	10.88	10.68	10.3	15.37	12.81	13.57	20.86	14.69	15.02
ENSG00000003402	131.88	100.4	111.53	138.5	138.73	152.63	154.97	155.49	159.89	134.54	81.08	68.51
ENSG00000003509	32.74	43.91	34.87	46.99	42.51	35.05	46.09	41.46	42.38	45.54	37.15	34.39
ENSG00000003989	18.85	17.52	17.13	19.66	18.78	19.69	16.43	17.4	17.51	11.92	3.87	12.1
ENSG00000004139	0.21	0.17	0.61	0.34	0.29	0.11	0.23	0.29	0.24	0.25	0.18	0.16
ENSG00000004142	51.44	52.17	58.15	52.99	48.72	40.52	51.06	44.62	43.56	46.52	47.02	39.72
ENSG00000004399	42.46	26.26	19.82	34.36	37.3	27.02	38.23	33.59	36.52	47.09	39.67	51.77
ENSG00000004455	7.34	8.1	3.08	5.45	3.99	5.35	5.38	5.55	5.43	5.83	6.94	2.24
ENSG00000004468	46.26	72.71	47.79	42.8	36.27	32.84	32.03	19.41	14.88	8.23	5.35	1.72
ENSG00000004478	22.01	27.07	26.72	23.89	12.93	17.91	18.81	14.29	8.93	13.94	15.44	15.69
ENSG00000004487	87.21	94.07	75.99	76.68	85.45	92.24	77.09	67.22	65.71	55.78	42.34	50.58
ENSG00000004534	62.49	50.59	51.52	52.1	51.8	45.08	33.65	39.75	39.7	39.82	41.41	32.51
ENSG00000004700	20.76	30.61	36.44	38.39	38.14	32.95	40.84	40.99	43.33	46.29	40.93	39.99
ENSG00000004766	7.36	7.2	8.44	7.11	5.57	7.08	8.87	7.23	9.16	10.78	12.01	8.44
ENSG00000004777	10.39	12.18	11.33	6.38	9.89	10.76	8.6	9.09	7.89	3.12	0.95	0.16
ENSG00000004779	25.91	34.25	34.54	34.14	29.14	23.55	21.28	21.35	20.99	23.82	20.42	31.7
ENSG00000004809	121.68	147.65	138.36	103.92	130.01	116.38	88.85	84.86	58.52	25.67	18.05	16.09
ENSG00000004864	56.47	52.73	48.42	52.32	56.77	58.23	65.1	67.91	71.13	88.96	97.81	67.07
ENSG00000004866	45.83	42.42	40.99	38.4	38.73	42.29	38.11	50.73	50.7	50.88	71.69	55.47
ENSG00000004897	93.47	97.92	75.8	88.87	83.35	71.15	57.85	72.58	71.36	77.49	76.15	74.43
ENSG00000004961	14.61	24.04	18.07	18.24	16.87	21.24	21.75	22.14	23.98	23.99	27.35	31.22
ENSG00000005007	71.13	75.88	52.53	67.51	50.85	47.29	45.51	50.36	51.42	54.23	64.8	74.52
ENSG00000005022	33.25	69.26	66.16	43.46	53.63	55.07	40.09	60.99	68	34.19	36.18	54.35
ENSG00000005059	7.4	11.52	13.97	23.96	18.87	25.28	30.75	34.4	42.68	59.15	35.19	41.8
ENSG00000005100	19.24	40.27	32.52	26.72	21.27	19.77	19.5	14.03	14.02	7.28	8.72	9.34
ENSG00000005156	91.39	102.8	100.76	81.24	76.96	85.08	73.18	64.24	81.94	70.22	75.8	61.82
ENSG00000005175	13	15.62	20.07	23.01	20.66	26.23	21.68	28.22	30.89	35.95	30.2	32.48
ENSG00000005194	53.68	51.91	53.29	48.37	51.04	43.62	37.54	41.02	49.83	43.33	47.81	41.63
ENSG00000005206	64.28	71.73	46.83	62.13	50.07	49.48	48.1	22.8	23.97	20.03	23.7	18.77
ENSG00000005238	64.47	49.63	96.22	110.08	113.52	110.45	120.44	98.88	102.64	117.41	94.47	80.39
ENSG00000005249	0.18	5.46	9.91	4.07	4.55	3.92	5.71	5.47	3.32	4.01	0.4	0.23
ENSG00000005302	14.51	19.33	24.53	21.54	18.73	25.65	26.96	34.59	47.79	59.64	57	42.98
ENSG00000005379	50.17	33.37	31.08	40.3	40.34	40.05	38.69	23.08	17.59	16.59	17.68	12.15
ENSG00000005381	29.74	21.3	16.61	44.19	65.21	68.38	93.56	41.44	19.75	4.56	1.02	0.2
ENSG00000005436	38.82	30.15	25.79	25.89	23.51	21.62	24.07	22.47	24.5	22.79	37.71	24.09
ENSG00000005469	7.83	7.86	6.96	8.84	9.8	11.34	10.5	8.52	8.87	6.14	5.09	10.5
ENSG00000005471	0.14	0.23	0.14	0.12	0.15	0.17	0.27	0.14	0.15	0.23	0.15	0.52
ENSG00000005486	8.02	56.33	61.45	70.6	65.09	75.81	80.27	68.59	84.02	102.11	101.86	66.5
ENSG00000005700	21.09	20.86	23.06	23.75	32.34	32.49	32.59	35.2	32.94	33.4	28.57	26.79
ENSG00000005801	95.62	70.21	99.84	82.97	81.94	79.08	75.73	70.37	66.01	51.89	53.96	74.21
ENSG00000005810	42.78	54.7	53.45	43.56	46.03	59.01	49.59	49.93	47.72	44.08	31.66	48.72
ENSG00000005812	101.68	32.77	33.7	29.54	37.22	34.08	32.4	33.37	33.65	30.32	25.76	75.17
ENSG00000005844	0.06	10.77	9.15	9.87	11.7	8.92	13.82	19.57	13.14	26.56	22.58	23.38
ENSG00000005882	16.07	8.1	14.27	13.61	18.72	21.45	23.27	27.26	23.99	18.94	17.47	14.94
ENSG00000005893	22.22	24.34	30.38	36.61	30.13	35.26	37.16	43.42	49.76	40.06	46.71	57.78
ENSG00000006007	23.75	29.95	23.91	26.71	27.18	26.63	26.05	28.25	28.24	25.4	19.69	18.24
ENSG00000006025	14.89	12.35	11.62	8.46	9.02	9.65	8.16	7.9	7.33	7.5	7.46	9.85
ENSG00000006042	10.74	9.28	6.78	5.43	7.24	8.03	5.49	5.99	3.04	1.87	0.71	0.11
ENSG00000006062	39.18	48.9	43.12	48.73	50.33	41.5	37.66	43.77	30.86	29.18	24.85	29.11
ENSG00000006118	7.82	4.47	3.93	5.28	5.71	5.62	3.5	3	2.16	0.41	0.28	0.44
