class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.48261901981393	ns	13.1492	0.211447885521	0.249809105501755	-0.474672339086549	0.118929668893249	0.19529400993527	0.484384996253704	0.110524751003972	0.206977522904314	stable
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	yes	0.543945794111971	significant	4.2662	9.999900001e-06	1.41046778065459e-05	0.667817729619869	0.0176317687895871	0.0435365719496578	0.247584563202884	0.437839623462857	0.56608132958902	positively_correlated
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	0.50768263652009	ns	9.64	9.999900001e-06	1.41046778065459e-05	0.18238159095338	0.570489686113671	0.662131299946692	0.519507770352888	0.0834443541761594	0.169180669250342	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	5.16395653208535	significant	1.9024	9.999900001e-06	1.41046778065459e-05	0.934823755754919	8.29711082230308e-06	0.000178878572029222	0.218447225348291	0.495183285690335	0.618843259683861	positively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.111188503180473	ns	4.1096	9.999900001e-06	1.41046778065459e-05	0.565006272735122	0.0555929654258436	0.106842938585015	0.3546132089698	0.25804670331465	0.384441846164154	stable
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.406620762711864	significant	1.7271	9.999900001e-06	1.41046778065459e-05	0.813285215411206	0.00129414881400874	0.00581460699627456	0.504122621187097	0.0946797036311203	0.185087444175402	positively_correlated
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	yes	1.79887710112979	ns	16.951	0.176568234318	0.212241792450594	-0.707957508567908	0.0099893389949704	0.0279047365864377	0.349656490768897	0.265229816394949	0.392361243362016	stable
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	0.149958602977206	significant	10.223	0.0558594414056	0.0709185879488542	-0.347505617773017	0.268382388143987	0.370980136662319	-0.699072765335965	0.0114124865898046	0.0404357080417432	negatively_correlated
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	1.09680085971729	ns	4.951	9.999900001e-06	1.41046778065459e-05	0.562548331839463	0.0569027714378158	0.108942522542679	0.467330555136621	0.125554573738197	0.22641987715714	stable
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	2.64300185950987	significant	5.0533	9.999900001e-06	1.41046778065459e-05	0.654962748792058	0.0208014264631065	0.0495036914641288	0.762989436201432	0.00389374893640038	0.0194034549825268	positively_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	0.82952259008597	significant	14.9863	0.936000639994	0.974455650044117	-0.515195130594317	0.0864972846222429	0.151464677438949	0.720491019222608	0.00821192414273175	0.0321066499587335	not_correlated
ENSG00000002549	upregulation	NA	NA	NA	upregulation	yes	3.759250785516	significant	3.924	9.999900001e-06	1.41046778065459e-05	0.805911150409409	0.00155004178872505	0.00665647895551916	0.714497252493738	0.00902953914648755	0.0343924921527944	positively_correlated
ENSG00000002586	variable	variable	cluster_3	bending	bending	yes	6.04268093840517	significant	12.3048	0.422905770942	0.464553387611949	-0.132329093906115	0.681830894405539	0.758009949145054	-0.587313571072507	0.0446541487814231	0.107743000631206	not_correlated
ENSG00000002745	downregulation	NA	NA	NA	downregulation	yes	7.45873266433645	significant	2.9468	1.9999800002e-05	2.74279062954925e-05	0.7724990943693	0.00322839653742417	0.0116472065812604	0.693757864121413	0.0123326837306049	0.0426719421442631	positively_correlated
ENSG00000002834	upregulation	NA	NA	NA	upregulation	yes	7.3438566552901	ns	8.3051	9.999900001e-06	1.41046778065459e-05	0.299670187647076	0.343995400104383	0.450496915224878	-0.468264840708719	0.124698419244432	0.22528054826751	stable
ENSG00000002919	upregulation	NA	NA	NA	upregulation	yes	3.93853025140436	ns	7.41	9.999900001e-06	1.41046778065459e-05	0.257489255417338	0.419113247511956	0.525034453214869	0.877068067748844	0.000179246919104035	0.00249583884915027	stable
ENSG00000003056	upregulation	NA	NA	NA	upregulation	yes	3.32027947899595	significant	3.4788	9.999900001e-06	1.41046778065459e-05	0.730500574813208	0.00697158485071696	0.0211228222526445	0.877756152690857	0.000174496006363451	0.00244908831466449	positively_correlated
ENSG00000003147	variable	variable	cluster_2	upregulation	upregulation	yes	0.479776111521808	significant	2.988	2.9999700003e-05	4.06964807212551e-05	0.804036277515108	0.00162089231207504	0.00688570853307449	-0.529776141725807	0.0764719278033301	0.159256585279035	positively_correlated
ENSG00000003400	upregulation	NA	NA	NA	upregulation	yes	2.50189589086263	significant	3.0645	9.999900001e-06	1.41046778065459e-05	0.807955035144021	0.00147553869464766	0.0063966596384185	-0.0962893856406158	0.76594287594384	0.842646847759297	positively_correlated
ENSG00000003402	upregulation	NA	NA	NA	upregulation	yes	2.93467979036175	significant	9.2932	9.999900001e-06	1.41046778065459e-05	-0.639941047212402	0.0250099665602045	0.0572267993759886	0.849919992431171	0.000463470636524985	0.00460123027942364	positively_correlated
ENSG00000003509	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.15483952382955	ns	13.9921	0.253277467225	0.293241704510538	-0.042682285848172	0.895216286422597	0.928140428974542	0.388034496721763	0.212612362956493	0.333585073310207	stable
ENSG00000003989	variable	variable	cluster_1	downregulation	downregulation	yes	0.62077736268977	significant	3.7419	9.999900001e-06	1.41046778065459e-05	0.752456216771856	0.00474681087170111	0.0157052075870639	0.560873862433113	0.0578073025985352	0.129788036963291	positively_correlated
ENSG00000004139	variable	variable	cluster_1	downregulation	downregulation	yes	1.27047057130522	significant	2.4466	9.999900001e-06	1.41046778065459e-05	0.884004026781217	0.000135706582800811	0.00115289932892315	-0.146723264191787	0.649088672284626	0.753299107215879	positively_correlated
ENSG00000004142	high_expression	flat	cluster_1	downregulation	downregulation	yes	2.09006965818889	ns	6.7193	9.999900001e-06	1.41046778065459e-05	0.334329600345579	0.288163283984951	0.39198180210199	-0.0500330926675581	0.877281732386048	0.920949429889594	stable
ENSG00000004399	bending	H006	NA	NA	bending	yes	7.95580120796361	ns	16.3584	0.408255917441	0.449878051370819	-0.170261108206545	0.596776498946888	0.685399902843197	-0.444950793026341	0.147220060833216	0.254972479896241	stable
ENSG00000004455	downregulation	NA	NA	NA	downregulation	yes	1.7547996855723	significant	6.2509	9.999900001e-06	1.41046778065459e-05	0.619809687895594	0.0315754936387813	0.068423523097278	0.801035483832663	0.0017394313132393	0.0111628734228811	positively_correlated
ENSG00000004468	downregulation	NA	NA	NA	downregulation	yes	1.70312906076199	significant	1.352	9.999900001e-06	1.41046778065459e-05	0.935258978555188	8.02973038584451e-06	0.000174521511367135	0.807810591591565	0.00148071172244248	0.0100890887618047	positively_correlated
ENSG00000004478	peaking	H009	NA	NA	peaking	yes	1.59193328522171	ns	6.2505	9.999900001e-06	1.41046778065459e-05	0.334685427404447	0.287618535201493	0.391591272315792	0.198350112384881	0.536588668286612	0.655182242852025	stable
ENSG00000004487	downregulation	NA	NA	NA	downregulation	yes	1.12531324537303	significant	1.0758	9.999900001e-06	1.41046778065459e-05	0.927156998802102	1.42797540534825e-05	0.000252254686143017	0.642713794720692	0.0241903880824277	0.0686110810059263	positively_correlated
ENSG00000004534	high_expression	flat	cluster_3	bending	bending	yes	0.40883984719728	significant	4.2381	9.999900001e-06	1.41046778065459e-05	0.554498848418984	0.0613426958301262	0.115594083777634	0.399923673823926	0.197710850739553	0.31694166541237	not_correlated
ENSG00000004700	high_expression	flat	cluster_2	upregulation	upregulation	yes	0.833683362582353	significant	2.8778	9.999900001e-06	1.41046778065459e-05	0.641025564270862	0.0246870417629938	0.0566495207265265	0.466659673653825	0.126171716833789	0.227190673555467	not_correlated
ENSG00000004766	upregulation	NA	NA	NA	upregulation	yes	0.101917695095655	significant	4.4393	0.000139998600014	0.000185309254350929	0.713205598850156	0.00921340803961475	0.0261562946823753	-0.27338110275643	0.389916555946897	0.519628014712247	positively_correlated
ENSG00000004777	downregulation	NA	NA	NA	downregulation	yes	1.63317168989012	significant	1.0805	9.999900001e-06	1.41046778065459e-05	0.963895592741319	4.54712882853168e-07	2.93701249337508e-05	0.691862093204326	0.0126738391221107	0.0434936915546563	positively_correlated
ENSG00000004779	variable	variable	cluster_1	downregulation	downregulation	yes	1.10769230769231	significant	8.5869	9.999900001e-06	1.41046778065459e-05	0.126138470824326	0.696072915183314	0.770213131866746	0.32882256203987	0.296668576906467	0.426635558295058	not_correlated
ENSG00000004809	variable	variable	cluster_1	downregulation	downregulation	yes	1.68355110740432	significant	2.4361	4.9999500005e-05	6.72135417432283e-05	0.946221490943519	3.23567320202884e-06	9.58574013259537e-05	0.918286372387847	2.4982695992524e-05	0.000726868804570808	positively_correlated
ENSG00000004864	high_expression	flat	cluster_3	bending	bending	yes	0.143786042132517	significant	3.392	9.999900001e-06	1.41046778065459e-05	0.792519869801621	0.00211220962889581	0.00840273870225416	-0.0614465749994376	0.849542496004677	0.90094175975161	positively_correlated
ENSG00000004866	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	0.237275250478725	significant	11.333	0.191898081019	0.229157625040557	-0.452897479453475	0.139270910730701	0.22109119241097	-0.322776363595503	0.306166945327925	0.435965258094795	not_correlated
ENSG00000004897	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.435946825827455	ns	4.5528	9.999900001e-06	1.41046778065459e-05	0.632436941726806	0.0273288498137173	0.0614286366328511	0.334381006626928	0.28808454811655	0.417407829671304	stable
ENSG00000004961	high_expression	flat	cluster_2	upregulation	upregulation	yes	1.9404122514153	significant	4.5952	9.999900001e-06	1.41046778065459e-05	0.574047141458156	0.0509563255224217	0.0996998611099834	0.74580949832643	0.00535336763186003	0.02435965453707	positively_correlated
ENSG00000005007	variable	variable	cluster_1	downregulation	downregulation	yes	1.64048669678059	significant	8.1065	9.999900001e-06	1.41046778065459e-05	0.00814441442579697	0.979958877651539	0.986601832634364	-0.291107265875947	0.358621091436462	0.489458541505132	not_correlated
ENSG00000005022	variable	variable	cluster_1	downregulation	downregulation	yes	3.77845528455285	ns	7.2517	9.999900001e-06	1.41046778065459e-05	0.367148651260544	0.240392618567455	0.340566825810102	0.349400343268684	0.265604127018653	0.392692155154433	stable
ENSG00000005059	bending	H009	NA	NA	bending	yes	0.29411133755229	significant	2.6716	9.999900001e-06	1.41046778065459e-05	0.695513528119612	0.0120228530488833	0.0322701745154097	-0.241245246405293	0.450033268746958	0.576980575498673	positively_correlated
