H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000005100	0.08	0.09	0.1	0.08	0.13	0.09	0.12	0.11	0.09	0.13	0.16	0.17
ENSG00000005156	0.1	0.15	0.07	0.08	0.08	0.1	0.06	0.08	0.04	0.07	0.02	0.1
ENSG00000005175	8.54	5.38	10.2	9.02	11.38	8.67	5.5	7.19	14.95	20.56	34.05	34.16
ENSG00000005194	0.29	0.51	1.6	0.18	0.17	0.24	0.33	0.29	0.19	0.23	0.96	2.68
ENSG00000005206	12.94	15.46	19.51	21.73	18.3	17.57	16.89	18.5	18.56	13.31	12.22	7.91
ENSG00000005238	0.13	0.14	0.13	0.12	0.13	0.18	0.16	0.33	3.14	3.04	2.85	4.8
ENSG00000005249	6.27	6.07	6.88	5.66	5.28	5.4	5.88	4.81	2.2	0.94	0.27	0.22
ENSG00000005302	0.08	0.01	0.06	0.16	0.04	0.05	0.03	0.05	0.05	0.09	0.08	0.12
ENSG00000005339	4.57	3.06	2.9	3.14	2.3	0.66	1.03	1.47	0.35	0.13	0.16	0.18
ENSG00000005379	2.38	4.92	6.41	6.72	5.42	6.87	4.39	4.49	4.13	5.25	4.17	6.51
ENSG00000005381	17.94	16.71	21.92	23.32	22.01	26.46	27.64	24.76	22.34	18.62	10.73	5.5
ENSG00000005436	0.14	0.06	0.06	0.1	0.05	0.09	0.08	0.07	0.09	0.1	0.06	0.06
ENSG00000005448	3.13	2.99	4.56	4.23	2.58	6.4	4.07	3.75	4.2	6.59	4.51	4.27
ENSG00000005469	0.54	3.94	2.48	0.47	1.81	0.44	0.82	0.3	0.2	1.7	0.3	1.45
ENSG00000005471	11.05	12.96	10.17	11.86	8.87	7.17	7.45	6.38	5.54	2.01	0.37	0.72
ENSG00000005483	6.68	7.92	6.95	4.57	7.04	8.66	9.01	6.32	8.67	6.97	5.71	5.88
ENSG00000005486	7.94	5.2	7.53	7.34	10.71	8.93	8.82	9.03	7.86	12.86	14.62	11.92
ENSG00000005700	0.04	0.02	0.05	0.04	0.03	0.04	0.03	0.04	0.09	0.07	0.03	0.03
ENSG00000005801	6.25	5.76	7.52	8.97	7.42	4.53	8.18	6.2	3.48	0.26	0.23	2.87
ENSG00000005810	12.34	9.81	8.7	10.58	9.36	9.12	9.21	8.97	6.82	6.03	5.92	6.91
ENSG00000005812	0.05	0.03	0.07	0.08	0.07	0.05	0.07	0.08	0.15	0.38	3.3	5.24
ENSG00000005844	2.08	2.14	2.8	3.8	5.56	7	6.96	8.06	7.26	9.01	14.04	10.84
ENSG00000005882	0.14	0.11	0.21	0.17	0.15	0.1	0.09	0.19	0.2	0.16	0.3	0.2
ENSG00000005889	6.8	9.74	8.12	6.75	8.1	7.28	7.87	4.13	6.22	4.82	4.67	5.15
ENSG00000005893	0.07	0.1	0.25	0.13	0.12	0.08	0.06	0.08	0.13	0.1	0.08	0.08
ENSG00000006007	8.12	6.88	5.21	7.2	7.22	8.98	5.76	7.01	6.9	6.39	5.95	6.34
ENSG00000006015	9.97	9.79	11.26	10.36	10.56	14.52	13.46	11.49	16.74	12.94	14.61	17.95
ENSG00000006025	0.05	0.07	0.1	0.07	0.08	0.07	0.15	2.17	2.85	0.92	0.18	0.18
ENSG00000006042	0.03	0.05	0.06	0.04	0.04	0.03	0.03	0.02	0.02	0.06	0.02	0.05
ENSG00000006059	0.02	0.05	0.04	0.03	0.1	0.09	0.49	2.44	2.78	4.51	4.68	5.14
ENSG00000006062	4.75	5.79	6.69	4.85	5.86	5.2	3.58	6.32	11.13	24.17	18.34	22.9
ENSG00000006118	3.52	3.2	3.7	3.18	5.62	8.75	9.35	19.19	22	24.23	23.61	23.25
ENSG00000006125	0.63	1.75	0.89	2.94	1.14	3.81	0.61	0.56	0.39	0.25	0.17	0.18
ENSG00000006128	0.05	0.05	0.03	0.04	0.04	0.05	0.04	0.02	0.03	0.04	0.04	0.03
ENSG00000006194	0.13	0.07	0.1	0.74	2.8	0.84	2.86	5.63	5.22	6.72	6.93	8.1
ENSG00000006282	15.12	14.52	18.36	17.84	14.32	13.29	12.51	11.48	11.46	4.37	3.6	2.73
ENSG00000006327	2.06	2.59	0.48	0.19	0.31	0.13	0.28	1.38	1.54	0.21	0.16	0.19
ENSG00000006377	0.08	0.06	0.08	0.05	0.05	0.07	0.03	0.07	0.05	0.04	0.04	0.06
ENSG00000006451	0.27	0.28	0.18	0.22	2	2.09	5.82	3.35	3.13	9.48	12.44	12.31
ENSG00000006459	0.1	0.12	0.17	0.32	0.23	1.75	2.21	2.08	1.82	4.41	2.33	2.96
ENSG00000006530	0.29	0.22	0.15	0.17	0.18	0.24	0.08	0.08	0.09	0.09	0.08	0.04
ENSG00000006534	21.02	17.98	18.73	25.28	20.52	23.22	21.81	27.41	22.12	16.99	8.39	11.22
ENSG00000006576	6.02	6.11	7.76	6.91	4.64	9.12	8.8	4.67	6.8	5.09	7.77	7.78
ENSG00000006607	0.17	0.09	0.1	0.07	0.09	0.14	0.1	0.06	0.04	0.11	0.06	0.13
ENSG00000006625	0.09	0.08	0.11	0.11	0.06	0.08	0.09	0.08	0.08	0.05	0.05	0.04
ENSG00000006634	3.65	4.2	4.53	3.33	4.98	6.25	6.44	8.05	6.77	7.44	11.44	12.89
ENSG00000006652	3.85	7.3	7.78	11.84	8.05	7.26	10.15	8.47	7.77	8.14	0.4	0.25
ENSG00000006695	0.14	0.07	0.1	0.12	0.12	0.07	0.09	0.06	0.05	0.11	0.12	0.2
ENSG00000006704	3.73	1.59	3.44	4.41	2.77	0.57	1.22	0.9	2.17	0.22	0.17	0.16
