H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000005100	0.45	0.45	0.41	0.48	0.53	0.4	0.91	0.68	0.6	0.65	0.71	2.42
ENSG00000005156	0.39	0.36	0.24	0.37	0.22	0.25	0.36	0.35	0.2	0.42	0.27	0.38
ENSG00000005175	0.83	0.34	0.6	0.48	0.53	0.39	0.48	0.43	0.65	4.14	3.17	5.04
ENSG00000005194	0.5	2.37	0.7	0.57	0.55	0.51	0.43	0.53	0.48	0.58	0.74	2.72
ENSG00000005206	17.11	19.78	15.75	17.17	14.17	8.33	8.99	5.08	5.07	3.11	2.84	5.45
ENSG00000005238	0.3	0.39	0.31	0.38	0.45	0.29	0.35	0.34	0.32	0.44	0.31	0.51
ENSG00000005249	0.27	0.32	0.28	0.18	0.14	0.1	0.15	0.17	0.18	0.17	0.2	0.15
ENSG00000005302	0.09	0.21	0.19	0.17	0.16	0.17	0.13	0.16	0.11	0.18	0.13	0.13
ENSG00000005339	0.49	0.42	0.6	0.51	0.39	0.38	0.46	0.47	0.47	0.37	0.4	1.66
ENSG00000005379	196.61	165.28	159.67	218.78	218.78	196.61	207.7	196.61	178.54	144.25	132.01	117.91
ENSG00000005381	3.63	7.59	8.85	16.23	24.24	31.07	40.26	21.95	13.62	3.78	0.67	0.3
ENSG00000005436	0.18	0.29	0.22	0.18	0.21	0.22	0.21	0.17	0.19	0.22	0.29	0.36
ENSG00000005448	0.26	0.42	0.28	0.36	0.32	0.21	0.31	0.56	2.33	0.37	0.46	0.32
ENSG00000005469	0.31	0.28	0.19	0.11	0.22	0.15	0.35	0.25	0.17	0.34	0.18	0.19
ENSG00000005471	0.26	0.48	0.39	0.34	0.32	0.18	0.34	0.15	0.23	0.2	0.14	0.19
ENSG00000005483	71.24	49.17	37.61	51.13	45.67	51.85	47.58	47.38	51.84	74.49	72.78	70.89
ENSG00000005486	0.4	1.15	2.62	2.63	2.98	3.31	2.5	2.91	2.42	3.82	4.72	6.69
ENSG00000005700	0.25	0.29	0.23	0.15	0.28	0.21	0.33	0.3	0.28	0.33	0.29	0.18
ENSG00000005801	0.43	0.19	0.41	0.41	0.56	0.3	0.45	0.36	0.28	0.34	0.21	0.23
ENSG00000005810	50.88	44.03	49.41	67.29	71.69	71.07	80.12	79.27	81.54	65	28.6	40.62
ENSG00000005812	0.19	0.14	0.12	0.09	0.2	0.3	0.25	0.09	0.1	0.2	0.15	0.1
ENSG00000005844	0.29	0.53	0.4	0.4	0.44	0.7	0.56	0.48	0.68	2.4	0.76	0.47
ENSG00000005882	1.15	0.49	0.6	0.6	0.65	0.86	0.52	0.96	0.78	0.5	0.98	0.79
ENSG00000005889	5.4	5.79	4.02	6.69	5.67	7.62	7.52	6.26	7.22	8.9	9.03	10.68
ENSG00000005893	0.28	0.41	0.29	0.29	0.26	0.26	0.35	0.28	0.31	0.38	0.19	0.23
ENSG00000006007	32.21	52.2	37.01	39.98	48.69	49.69	42.83	50.06	46.27	41.76	28.37	20.77
ENSG00000006015	0.2	0.53	0.54	0.47	0.6	1.13	2.9	2.37	3.3	4.76	3.01	0.67
ENSG00000006025	0.44	0.5	0.7	0.48	0.28	0.44	0.46	0.51	0.47	0.69	0.32	0.26
ENSG00000006042	0.23	0.18	0.13	0.13	0.09	0.12	0.07	0.1	0.23	0.15	0.07	0.1
