class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000004455	downregulation	NA	NA	NA	downregulation	yes	3.5627056770188	ns	15.7568	0.622293777062	0.715290442285694	-0.530731062835379	0.0758444826036502	0.194383850470524	0.172128210548218	0.592697113154237	0.676374991953155	stable
ENSG00000004468	downregulation	NA	NA	NA	downregulation	yes	2.91192369665783	ns	13.0907	0.159418405816	0.238429837716983	-0.229799038646159	0.472451997377455	0.635901699453732	0.832471049553267	0.000778792149574346	0.00441906384730024	stable
ENSG00000004478	peaking	H009	NA	NA	peaking	yes	3.62336620960629	ns	10.0419	0.00574994250057	0.00964932879406	0.125463319160213	0.69763171251766	0.812588142082508	0.789324833148682	0.00226678827387619	0.00961948707994545	stable
ENSG00000004487	downregulation	NA	NA	NA	downregulation	yes	2.32228797439691	significant	19.5275	1	1	-0.726976709108645	0.0073909682466058	0.0425139505875678	-0.392771108227766	0.20659642931489	0.299188667964479	negatively_correlated
ENSG00000004534	high_expression	flat	cluster_3	bending	bending	yes	0.909978461975203	ns	5.0323	9.999900001e-06	1.77221798737652e-05	-0.240539404163696	0.451400865636648	0.618346801614173	0.503159816354437	0.0954148922240468	0.163668030566211	stable
ENSG00000004700	high_expression	flat	cluster_2	upregulation	upregulation	yes	1.0340055812883	ns	13.0568	0.389326106739	0.484507908678935	-0.0764144280208991	0.813405277862764	0.885766799733929	-0.098777490133514	0.76004950378456	0.817428858290813	stable
ENSG00000004766	upregulation	NA	NA	NA	upregulation	yes	0.278180483552782	ns	17.1325	1	1	-0.61746749215264	0.0324123941054062	0.11355651163456	0.208880435859945	0.514712445125374	0.607723065737824	stable
ENSG00000004777	downregulation	NA	NA	NA	downregulation	yes	3.21453563317169	significant	2.834	9.999900001e-06	1.77221798737652e-05	0.894479561437162	8.6096146030762e-05	0.00246707258836378	0.890599703315436	0.000102439105451955	0.00106831265790287	positively_correlated
ENSG00000004779	variable	variable	cluster_1	downregulation	downregulation	yes	1.33892250072025	ns	13.6759	0.580374196258	0.673772603028587	-0.395804535290232	0.202798828915518	0.369397994442641	-0.0888746769196218	0.783572083164416	0.836635181944019	stable
ENSG00000004809	variable	variable	cluster_1	downregulation	downregulation	yes	2.99516263552961	significant	3.1859	9.999900001e-06	1.77221798737652e-05	0.831018062191757	0.000811055608310611	0.0101130070415127	0.909880135350343	4.01772243027012e-05	0.0005744335044569	positively_correlated
ENSG00000004864	high_expression	flat	cluster_3	bending	bending	yes	0.512372013651877	significant	4.0265	9.999900001e-06	1.77221798737652e-05	0.703079897108468	0.0107531721747431	0.0544488597042534	0.84583728821973	0.00052622243751248	0.00337205028632495	positively_correlated
ENSG00000004866	moderate_expression	flat	cluster_1	downregulation	downregulation	yes	0.966370945185143	ns	8.418	9.999900001e-06	1.77221798737652e-05	0.0493358811267895	0.878980646689351	0.928499263815528	-0.492186395290947	0.104066146401103	0.175294004118419	stable
ENSG00000004897	high_expression	flat	cluster_1	downregulation	downregulation	yes	1.69201030927835	ns	8.7991	9.999900001e-06	1.77221798737652e-05	0.194432946344957	0.544825157843446	0.6993200155823	0.43843911808788	0.153946364713393	0.238251037377973	stable
ENSG00000004961	high_expression	flat	cluster_2	upregulation	upregulation	yes	2.63296559732908	ns	5.4938	9.999900001e-06	1.77221798737652e-05	0.68328373987904	0.0143055299999337	0.0650840826625879	0.545726412710796	0.0664490933115776	0.122516955497982	stable
ENSG00000005007	variable	variable	cluster_1	downregulation	downregulation	yes	6.5838272539753	significant	15.9063	0.664973350266	0.758939255405057	-0.534880246904285	0.0731590963033436	0.189475996973535	0.179015995673159	0.577742256925834	0.663102823443289	not_correlated
ENSG00000005022	variable	variable	cluster_1	downregulation	downregulation	yes	2.86930894308943	ns	8.4501	9.999900001e-06	1.77221798737652e-05	0.0397814087801105	0.902306721293016	0.942001368169329	-0.063547931825323	0.844451517987056	0.883082213986202	stable
ENSG00000005059	bending	H009	NA	NA	bending	yes	0.797145308836824	ns	6.7928	9.999900001e-06	1.77221798737652e-05	0.264243656162799	0.4065745784659	0.575801387139537	0.442613314211287	0.149612469008355	0.232853741269734	stable
ENSG00000005100	variable	variable	cluster_1	downregulation	downregulation	yes	1.99903811071677	ns	12.4105	0.20367796322	0.290865026615081	-0.261957504613694	0.41079727378724	0.580132806788362	0.0317931009955427	0.921864517549991	0.941507174394514	stable
ENSG00000005156	downregulation	NA	NA	NA	downregulation	yes	3.205152	ns	14.7242	0.274087259127	0.366027056509198	0.0342362781850176	0.915878194003711	0.950685353910264	-0.262247323320906	0.410260749063415	0.510060815961964	stable
