class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000004399	bending	H006	NA	NA	bending	yes	8.16001789575721	significant	11.7355	0.165388346117	0.193883576289723	0.353250128638201	0.260010618789883	0.356913960289603	-0.133976501415229	0.678056690343776	0.771267684357882	not_correlated
ENSG00000004455	downregulation	NA	NA	NA	downregulation	yes	0.957498967451404	significant	5.2112	9.999900001e-06	1.3738516493924e-05	0.689100262555616	0.0131832833788203	0.0326062203981964	0.755612424084196	0.00447769482717511	0.0191686601900381	positively_correlated
ENSG00000004468	downregulation	NA	NA	NA	downregulation	yes	0.908934975830345	significant	1.6389	9.999900001e-06	1.3738516493924e-05	0.940353161161932	5.37671315265356e-06	0.000115946217501578	0.879011104549646	0.000166084917527762	0.00176506801538182	positively_correlated
ENSG00000004478	peaking	H009	NA	NA	peaking	yes	2.80033678133269	ns	6.7713	9.999900001e-06	1.3738516493924e-05	0.194512527153188	0.54465730261604	0.634695072862561	-0.0736466568425216	0.820064484202553	0.874208289038747	stable
ENSG00000004487	downregulation	NA	NA	NA	downregulation	yes	0.837369040789831	significant	1.661	2.9999700003e-05	3.9471476697403e-05	0.962395850375298	5.55922234101661e-07	2.9339527381339e-05	0.401739698869008	0.195492850024171	0.311785831735604	positively_correlated
ENSG00000004534	high_expression	flat	cluster_3	bending	bending	yes	0.455458253877153	ns	6.8727	9.999900001e-06	1.3738516493924e-05	0.408158342357155	0.187776639622544	0.27578619609155	0.312377923682787	0.322892539105917	0.456300336323839	stable
ENSG00000004700	high_expression	flat	cluster_2	upregulation	upregulation	yes	1.1525935728876	ns	2.6599	9.999900001e-06	1.3738516493924e-05	0.688232111744716	0.0133465047667152	0.0329208546195036	0.137901269516498	0.669092516297247	0.764265405709496	stable
ENSG00000004766	upregulation	NA	NA	NA	upregulation	yes	0.166024376443241	ns	7.9797	9.999900001e-06	1.3738516493924e-05	0.439399977231857	0.152941732760936	0.23409627555967	0.800660396671647	0.00175470277887893	0.00976023129975783	stable
ENSG00000004777	downregulation	NA	NA	NA	downregulation	yes	2.54385857221779	significant	2.5945	2.9999700003e-05	3.9471476697403e-05	0.817877320699012	0.00115208127198533	0.00474435111081433	0.766805079863584	0.00361538384152025	0.0165108751454396	positively_correlated
ENSG00000004779	variable	variable	cluster_1	downregulation	downregulation	yes	1.68418323249784	significant	6.2419	9.999900001e-06	1.3738516493924e-05	0.327068353757317	0.299407126668727	0.398646302097349	0.114617990035898	0.722815041468689	0.80335209858849	not_correlated
ENSG00000004809	variable	variable	cluster_1	downregulation	downregulation	yes	0.932536372903345	significant	1.8885	1.9999800002e-05	2.66420451039595e-05	0.948462934514136	2.62527513614249e-06	7.41547786694896e-05	0.944208634623171	3.87496597514632e-06	0.000119145431620793	positively_correlated
