class	time_point	hc	class2	final_class
ENSG00000109265	variable	variable	cluster_1	downregulation	downregulation
ENSG00000109270	upregulation	NA	NA	NA	upregulation
ENSG00000109323	variable	variable	cluster_2	upregulation	upregulation
ENSG00000109436	upregulation	NA	NA	NA	upregulation
ENSG00000109445	high_expression	flat	cluster_3	bending	bending
ENSG00000109458	variable	variable	cluster_1	downregulation	downregulation
ENSG00000109475	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000109501	peaking	H012	NA	NA	peaking
ENSG00000109519	variable	variable	cluster_1	downregulation	downregulation
ENSG00000109534	downregulation	NA	NA	NA	downregulation
ENSG00000109572	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000109576	downregulation	NA	NA	NA	downregulation
ENSG00000109586	downregulation	NA	NA	NA	downregulation
ENSG00000109606	downregulation	NA	NA	NA	downregulation
ENSG00000109618	moderate_expression	flat	cluster_3	bending	bending
ENSG00000109667	variable	variable	cluster_2	upregulation	upregulation
ENSG00000109670	downregulation	NA	NA	NA	downregulation
ENSG00000109685	downregulation	NA	NA	NA	downregulation
ENSG00000109689	downregulation	NA	NA	NA	downregulation
ENSG00000109743	variable	variable	cluster_2	upregulation	upregulation
ENSG00000109756	bending	H012	NA	NA	bending
ENSG00000109762	peaking	H036	NA	NA	peaking
ENSG00000109787	upregulation	NA	NA	NA	upregulation
ENSG00000109790	variable	variable	cluster_3	bending	bending
ENSG00000109805	downregulation	NA	NA	NA	downregulation
ENSG00000109854	variable	variable	cluster_2	upregulation	upregulation
ENSG00000109861	upregulation	NA	NA	NA	upregulation
ENSG00000109881	downregulation	NA	NA	NA	downregulation
ENSG00000109911	variable	variable	cluster_1	downregulation	downregulation
ENSG00000109917	variable	variable	cluster_1	downregulation	downregulation
ENSG00000109920	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110002	upregulation	NA	NA	NA	upregulation
ENSG00000110013	variable	variable	cluster_2	upregulation	upregulation
ENSG00000110025	moderate_expression	flat	cluster_3	bending	bending
ENSG00000110031	upregulation	NA	NA	NA	upregulation
ENSG00000110042	bending	H012	NA	NA	bending
ENSG00000110047	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110057	upregulation	NA	NA	NA	upregulation
ENSG00000110063	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110074	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110075	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110077	upregulation	NA	NA	NA	upregulation
ENSG00000110079	upregulation	NA	NA	NA	upregulation
ENSG00000110080	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110090	downregulation	NA	NA	NA	downregulation
ENSG00000110104	downregulation	NA	NA	NA	downregulation
ENSG00000110107	downregulation	NA	NA	NA	downregulation
ENSG00000110171	upregulation	NA	NA	NA	upregulation
ENSG00000110172	peaking	H009	NA	NA	peaking
ENSG00000110200	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110218	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110274	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110315	variable	variable	cluster_2	upregulation	upregulation
ENSG00000110321	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110324	upregulation	NA	NA	NA	upregulation
ENSG00000110330	upregulation	NA	NA	NA	upregulation
ENSG00000110344	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110395	variable	variable	cluster_2	upregulation	upregulation
ENSG00000110400	downregulation	NA	NA	NA	downregulation
ENSG00000110422	upregulation	NA	NA	NA	upregulation
ENSG00000110435	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110442	upregulation	NA	NA	NA	upregulation
ENSG00000110446	upregulation	NA	NA	NA	upregulation
ENSG00000110492	downregulation	NA	NA	NA	downregulation
ENSG00000110497	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110514	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110628	bending	H009	NA	NA	bending
ENSG00000110651	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110660	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110665	upregulation	NA	NA	NA	upregulation
ENSG00000110696	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110697	variable	variable	cluster_2	upregulation	upregulation
ENSG00000110700	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110711	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110713	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110719	variable	variable	cluster_2	upregulation	upregulation
ENSG00000110721	high_expression	flat	cluster_3	bending	bending
ENSG00000110756	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110777	downregulation	NA	NA	NA	downregulation
ENSG00000110841	downregulation	NA	NA	NA	downregulation
ENSG00000110844	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000110851	variable	variable	cluster_3	bending	bending
ENSG00000110876	upregulation	NA	NA	NA	upregulation
ENSG00000110880	upregulation	NA	NA	NA	upregulation
ENSG00000110911	bending	H006	NA	NA	bending
ENSG00000110917	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110921	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110925	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110931	downregulation	NA	NA	NA	downregulation
ENSG00000110934	upregulation	NA	NA	NA	upregulation
ENSG00000110955	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000110958	variable	variable	cluster_1	downregulation	downregulation
ENSG00000110987	downregulation	NA	NA	NA	downregulation
ENSG00000111011	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111012	peaking	H003	NA	NA	peaking
ENSG00000111142	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111144	peaking	H036	NA	NA	peaking
ENSG00000111145	peaking	H009	NA	NA	peaking
ENSG00000111196	downregulation	NA	NA	NA	downregulation
ENSG00000111203	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111206	downregulation	NA	NA	NA	downregulation
ENSG00000111215	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111229	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000111231	peaking	H036	NA	NA	peaking
ENSG00000111237	variable	variable	cluster_2	upregulation	upregulation
ENSG00000111247	downregulation	NA	NA	NA	downregulation
ENSG00000111252	upregulation	NA	NA	NA	upregulation
ENSG00000111266	bending	H036	NA	NA	bending
ENSG00000111269	upregulation	NA	NA	NA	upregulation
ENSG00000111275	variable	variable	cluster_2	upregulation	upregulation
ENSG00000111300	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111321	upregulation	NA	NA	NA	upregulation
ENSG00000111328	downregulation	NA	NA	NA	downregulation
ENSG00000111335	variable	variable	cluster_2	upregulation	upregulation
ENSG00000111344	variable	variable	cluster_3	bending	bending
ENSG00000111358	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111361	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111364	downregulation	NA	NA	NA	downregulation
ENSG00000111371	downregulation	NA	NA	NA	downregulation
ENSG00000111424	variable	variable	cluster_3	bending	bending
ENSG00000111445	downregulation	NA	NA	NA	downregulation
ENSG00000111450	variable	variable	cluster_3	bending	bending
ENSG00000111530	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111540	variable	variable	cluster_2	upregulation	upregulation
ENSG00000111554	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111581	downregulation	NA	NA	NA	downregulation
ENSG00000111596	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111602	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111605	downregulation	NA	NA	NA	downregulation
ENSG00000111615	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111639	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111640	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000111641	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111652	variable	variable	cluster_2	upregulation	upregulation
ENSG00000111653	variable	variable	cluster_2	upregulation	upregulation
ENSG00000111665	downregulation	NA	NA	NA	downregulation
ENSG00000111666	high_expression	flat	cluster_3	bending	bending
ENSG00000111667	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111669	peaking	H072	NA	NA	peaking
ENSG00000111670	upregulation	NA	NA	NA	upregulation
ENSG00000111674	bending	H018	NA	NA	bending
ENSG00000111678	downregulation	NA	NA	NA	downregulation
ENSG00000111679	bending	H006	NA	NA	bending
ENSG00000111684	upregulation	NA	NA	NA	upregulation
ENSG00000111696	peaking	H003	NA	NA	peaking
ENSG00000111707	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111716	downregulation	NA	NA	NA	downregulation
ENSG00000111725	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000111726	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000111727	moderate_expression	flat	cluster_3	bending	bending
ENSG00000111729	upregulation	NA	NA	NA	upregulation
ENSG00000111731	high_expression	flat	cluster_3	bending	bending
ENSG00000111737	upregulation	NA	NA	NA	upregulation
ENSG00000111752	variable	variable	cluster_3	bending	bending
ENSG00000111775	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111785	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111786	downregulation	NA	NA	NA	downregulation
ENSG00000111790	high_expression	flat	cluster_3	bending	bending
ENSG00000111817	upregulation	NA	NA	NA	upregulation
ENSG00000111832	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111843	variable	variable	cluster_3	bending	bending
ENSG00000111845	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111859	upregulation	NA	NA	NA	upregulation
ENSG00000111860	variable	variable	cluster_3	bending	bending
ENSG00000111875	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111877	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111880	variable	variable	cluster_1	downregulation	downregulation
ENSG00000111885	bending	H036	NA	NA	bending
ENSG00000111897	upregulation	NA	NA	NA	upregulation
ENSG00000111906	downregulation	NA	NA	NA	downregulation
ENSG00000111911	variable	variable	cluster_3	bending	bending
ENSG00000111912	peaking	H003	NA	NA	peaking
ENSG00000111913	peaking	H048	NA	NA	peaking
ENSG00000111961	upregulation	NA	NA	NA	upregulation
ENSG00000111962	upregulation	NA	NA	NA	upregulation
ENSG00000112029	downregulation	NA	NA	NA	downregulation
ENSG00000112031	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112033	upregulation	NA	NA	NA	upregulation
ENSG00000112039	downregulation	NA	NA	NA	downregulation
ENSG00000112062	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000112079	downregulation	NA	NA	NA	downregulation
ENSG00000112081	downregulation	NA	NA	NA	downregulation
ENSG00000112096	upregulation	NA	NA	NA	upregulation
ENSG00000112118	downregulation	NA	NA	NA	downregulation
ENSG00000112137	variable	variable	cluster_3	bending	bending
ENSG00000112139	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112144	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112146	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000112149	bending	H036	NA	NA	bending
ENSG00000112159	downregulation	NA	NA	NA	downregulation
ENSG00000112167	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112182	downregulation	NA	NA	NA	downregulation
ENSG00000112183	peaking	H006	NA	NA	peaking
ENSG00000112186	peaking	H024	NA	NA	peaking
ENSG00000112195	peaking	H072	NA	NA	peaking
ENSG00000112208	downregulation	NA	NA	NA	downregulation
ENSG00000112234	variable	variable	cluster_2	upregulation	upregulation
ENSG00000112237	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112242	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112245	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112249	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112290	downregulation	NA	NA	NA	downregulation
ENSG00000112294	downregulation	NA	NA	NA	downregulation
ENSG00000112303	upregulation	NA	NA	NA	upregulation
ENSG00000112306	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112308	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000112312	downregulation	NA	NA	NA	downregulation
ENSG00000112335	upregulation	NA	NA	NA	upregulation
ENSG00000112339	downregulation	NA	NA	NA	downregulation
ENSG00000112343	bending	H006	NA	NA	bending
ENSG00000112365	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112367	variable	variable	cluster_2	upregulation	upregulation
ENSG00000112394	upregulation	NA	NA	NA	upregulation
ENSG00000112406	variable	variable	cluster_3	bending	bending
ENSG00000112419	variable	variable	cluster_3	bending	bending
ENSG00000112425	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112473	upregulation	NA	NA	NA	upregulation
ENSG00000112511	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000112514	high_expression	flat	cluster_3	bending	bending
ENSG00000112531	variable	variable	cluster_3	bending	bending
ENSG00000112559	downregulation	NA	NA	NA	downregulation
ENSG00000112576	downregulation	NA	NA	NA	downregulation
ENSG00000112578	downregulation	NA	NA	NA	downregulation
ENSG00000112584	moderate_expression	flat	cluster_3	bending	bending
ENSG00000112592	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112624	moderate_expression	flat	cluster_3	bending	bending
ENSG00000112651	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112655	downregulation	NA	NA	NA	downregulation
ENSG00000112658	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112667	variable	variable	cluster_2	upregulation	upregulation
ENSG00000112679	variable	variable	cluster_2	upregulation	upregulation
ENSG00000112697	upregulation	NA	NA	NA	upregulation
ENSG00000112699	downregulation	NA	NA	NA	downregulation
ENSG00000112701	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112739	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000112742	downregulation	NA	NA	NA	downregulation
ENSG00000112759	variable	variable	cluster_3	bending	bending
ENSG00000112763	high_expression	flat	cluster_3	bending	bending
ENSG00000112787	downregulation	NA	NA	NA	downregulation
ENSG00000112799	bending	H009	NA	NA	bending
ENSG00000112877	downregulation	NA	NA	NA	downregulation
ENSG00000112941	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112972	variable	variable	cluster_1	downregulation	downregulation
ENSG00000112977	variable	variable	cluster_2	upregulation	upregulation
ENSG00000112984	downregulation	NA	NA	NA	downregulation
ENSG00000112996	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113013	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113048	downregulation	NA	NA	NA	downregulation
ENSG00000113068	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113070	peaking	H003	NA	NA	peaking
ENSG00000113108	upregulation	NA	NA	NA	upregulation
ENSG00000113119	upregulation	NA	NA	NA	upregulation
ENSG00000113140	peaking	H072	NA	NA	peaking
ENSG00000113161	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113163	upregulation	NA	NA	NA	upregulation
ENSG00000113269	upregulation	NA	NA	NA	upregulation
ENSG00000113272	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000113273	upregulation	NA	NA	NA	upregulation
ENSG00000113282	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113300	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113318	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113356	downregulation	NA	NA	NA	downregulation
ENSG00000113360	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113368	downregulation	NA	NA	NA	downregulation
ENSG00000113369	variable	variable	cluster_2	upregulation	upregulation
ENSG00000113384	upregulation	NA	NA	NA	upregulation
ENSG00000113387	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113391	moderate_expression	flat	cluster_3	bending	bending
ENSG00000113407	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113441	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000113448	peaking	H003	NA	NA	peaking
ENSG00000113456	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113460	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113504	variable	variable	cluster_3	bending	bending
ENSG00000113522	bending	H006	NA	NA	bending
ENSG00000113532	variable	variable	cluster_3	bending	bending
ENSG00000113552	bending	H036	NA	NA	bending
ENSG00000113555	variable	variable	cluster_2	upregulation	upregulation
ENSG00000113558	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113569	downregulation	NA	NA	NA	downregulation
ENSG00000113583	variable	variable	cluster_3	bending	bending
ENSG00000113595	variable	variable	cluster_3	bending	bending
ENSG00000113597	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113621	variable	variable	cluster_3	bending	bending
ENSG00000113643	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113645	downregulation	NA	NA	NA	downregulation
ENSG00000113649	downregulation	NA	NA	NA	downregulation
ENSG00000113658	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113719	variable	variable	cluster_3	bending	bending
ENSG00000113721	downregulation	NA	NA	NA	downregulation
ENSG00000113732	upregulation	NA	NA	NA	upregulation
ENSG00000113734	variable	variable	cluster_1	downregulation	downregulation
ENSG00000113742	upregulation	NA	NA	NA	upregulation
ENSG00000113749	upregulation	NA	NA	NA	upregulation
ENSG00000113758	downregulation	NA	NA	NA	downregulation
ENSG00000113761	downregulation	NA	NA	NA	downregulation
ENSG00000113810	downregulation	NA	NA	NA	downregulation
ENSG00000113812	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000113838	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000113916	bending	H012	NA	NA	bending
ENSG00000113971	variable	variable	cluster_3	bending	bending
ENSG00000114013	upregulation	NA	NA	NA	upregulation
ENSG00000114026	bending	H006	NA	NA	bending
ENSG00000114062	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114098	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114107	downregulation	NA	NA	NA	downregulation
ENSG00000114125	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000114126	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114166	variable	variable	cluster_3	bending	bending
ENSG00000114268	bending	H006	NA	NA	bending
ENSG00000114302	moderate_expression	flat	cluster_3	bending	bending
ENSG00000114316	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000114346	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114353	upregulation	NA	NA	NA	upregulation
ENSG00000114388	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114391	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114416	high_expression	flat	cluster_3	bending	bending
ENSG00000114423	variable	variable	cluster_3	bending	bending
ENSG00000114446	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000114450	upregulation	NA	NA	NA	upregulation
ENSG00000114480	peaking	H006	NA	NA	peaking
ENSG00000114491	downregulation	NA	NA	NA	downregulation
ENSG00000114503	downregulation	NA	NA	NA	downregulation
ENSG00000114541	variable	variable	cluster_3	bending	bending
ENSG00000114554	bending	H036	NA	NA	bending
ENSG00000114573	variable	variable	cluster_2	upregulation	upregulation
ENSG00000114626	variable	variable	cluster_2	upregulation	upregulation
ENSG00000114631	downregulation	NA	NA	NA	downregulation
ENSG00000114650	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000114686	downregulation	NA	NA	NA	downregulation
ENSG00000114738	upregulation	NA	NA	NA	upregulation
ENSG00000114742	high_expression	flat	cluster_3	bending	bending
ENSG00000114745	variable	variable	cluster_2	upregulation	upregulation
ENSG00000114767	peaking	H006	NA	NA	peaking
ENSG00000114770	variable	variable	cluster_2	upregulation	upregulation
ENSG00000114779	variable	variable	cluster_3	bending	bending
ENSG00000114796	variable	variable	cluster_3	bending	bending
ENSG00000114805	peaking	H003	NA	NA	peaking
ENSG00000114812	peaking	H036	NA	NA	peaking
ENSG00000114859	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114861	moderate_expression	flat	cluster_3	bending	bending
ENSG00000114867	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114904	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000114942	variable	variable	cluster_1	downregulation	downregulation
ENSG00000114948	peaking	H072	NA	NA	peaking
ENSG00000114978	variable	variable	cluster_2	upregulation	upregulation
ENSG00000114982	downregulation	NA	NA	NA	downregulation
ENSG00000114999	high_expression	flat	cluster_3	bending	bending
ENSG00000115009	peaking	H072	NA	NA	peaking
ENSG00000115053	downregulation	NA	NA	NA	downregulation
ENSG00000115084	variable	variable	cluster_3	bending	bending
ENSG00000115085	downregulation	NA	NA	NA	downregulation
ENSG00000115091	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115107	peaking	H072	NA	NA	peaking
ENSG00000115109	downregulation	NA	NA	NA	downregulation
ENSG00000115128	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115129	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115145	moderate_expression	flat	cluster_3	bending	bending
ENSG00000115163	downregulation	NA	NA	NA	downregulation
ENSG00000115165	upregulation	NA	NA	NA	upregulation
ENSG00000115170	upregulation	NA	NA	NA	upregulation
ENSG00000115204	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000115207	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115216	high_expression	flat	cluster_3	bending	bending
ENSG00000115233	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115234	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115239	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115241	downregulation	NA	NA	NA	downregulation
ENSG00000115267	variable	variable	cluster_3	bending	bending
ENSG00000115268	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115271	upregulation	NA	NA	NA	upregulation
ENSG00000115275	variable	variable	cluster_3	bending	bending
ENSG00000115282	high_expression	flat	cluster_3	bending	bending
ENSG00000115295	upregulation	NA	NA	NA	upregulation
ENSG00000115306	downregulation	NA	NA	NA	downregulation
ENSG00000115310	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000115318	upregulation	NA	NA	NA	upregulation
ENSG00000115325	upregulation	NA	NA	NA	upregulation
ENSG00000115339	peaking	H003	NA	NA	peaking
ENSG00000115355	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115364	downregulation	NA	NA	NA	downregulation
ENSG00000115365	downregulation	NA	NA	NA	downregulation
ENSG00000115368	downregulation	NA	NA	NA	downregulation
ENSG00000115380	downregulation	NA	NA	NA	downregulation
ENSG00000115392	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115414	peaking	H072	NA	NA	peaking
ENSG00000115415	upregulation	NA	NA	NA	upregulation
ENSG00000115419	downregulation	NA	NA	NA	downregulation
ENSG00000115446	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115457	peaking	H018	NA	NA	peaking
ENSG00000115459	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115464	downregulation	NA	NA	NA	downregulation
ENSG00000115484	downregulation	NA	NA	NA	downregulation
ENSG00000115504	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115514	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115525	variable	variable	cluster_3	bending	bending
ENSG00000115526	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115539	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115540	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115541	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115548	variable	variable	cluster_3	bending	bending
ENSG00000115561	upregulation	NA	NA	NA	upregulation
ENSG00000115568	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115590	upregulation	NA	NA	NA	upregulation
ENSG00000115649	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115652	downregulation	NA	NA	NA	downregulation
ENSG00000115657	peaking	H009	NA	NA	peaking
ENSG00000115661	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115677	upregulation	NA	NA	NA	upregulation
ENSG00000115685	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000115687	downregulation	NA	NA	NA	downregulation
ENSG00000115694	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115750	downregulation	NA	NA	NA	downregulation
ENSG00000115758	downregulation	NA	NA	NA	downregulation
ENSG00000115761	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115762	upregulation	NA	NA	NA	upregulation
ENSG00000115806	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000115816	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115825	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115827	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115875	downregulation	NA	NA	NA	downregulation
ENSG00000115884	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115902	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115904	variable	variable	cluster_3	bending	bending
ENSG00000115919	upregulation	NA	NA	NA	upregulation
ENSG00000115935	high_expression	flat	cluster_3	bending	bending
ENSG00000115942	variable	variable	cluster_1	downregulation	downregulation
ENSG00000115946	peaking	H003	NA	NA	peaking
ENSG00000115956	upregulation	NA	NA	NA	upregulation
ENSG00000115963	variable	variable	cluster_3	bending	bending
ENSG00000115966	high_expression	flat	cluster_3	bending	bending
ENSG00000115977	variable	variable	cluster_2	upregulation	upregulation
ENSG00000115993	variable	variable	cluster_3	bending	bending
ENSG00000115998	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000116001	variable	variable	cluster_1	downregulation	downregulation
ENSG00000116005	variable	variable	cluster_3	bending	bending
ENSG00000116016	upregulation	NA	NA	NA	upregulation
ENSG00000116017	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116030	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116062	downregulation	NA	NA	NA	downregulation
ENSG00000116096	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116120	downregulation	NA	NA	NA	downregulation
ENSG00000116127	downregulation	NA	NA	NA	downregulation
ENSG00000116128	downregulation	NA	NA	NA	downregulation
ENSG00000116138	moderate_expression	flat	cluster_3	bending	bending
ENSG00000116141	variable	variable	cluster_1	downregulation	downregulation
ENSG00000116157	downregulation	NA	NA	NA	downregulation
ENSG00000116161	peaking	H009	NA	NA	peaking
ENSG00000116171	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000116191	variable	variable	cluster_3	bending	bending
ENSG00000116198	moderate_expression	flat	cluster_3	bending	bending
ENSG00000116199	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116209	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116221	downregulation	NA	NA	NA	downregulation
ENSG00000116237	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116251	downregulation	NA	NA	NA	downregulation
ENSG00000116254	peaking	H048	NA	NA	peaking
ENSG00000116260	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116266	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000116288	variable	variable	cluster_1	downregulation	downregulation
ENSG00000116350	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116353	downregulation	NA	NA	NA	downregulation
ENSG00000116406	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116455	variable	variable	cluster_1	downregulation	downregulation
ENSG00000116459	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116473	upregulation	NA	NA	NA	upregulation
ENSG00000116478	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116489	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000116521	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000116560	downregulation	NA	NA	NA	downregulation
ENSG00000116574	upregulation	NA	NA	NA	upregulation
ENSG00000116586	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116649	peaking	H006	NA	NA	peaking
ENSG00000116663	variable	variable	cluster_2	upregulation	upregulation
ENSG00000116667	upregulation	NA	NA	NA	upregulation
