class	time_point	hc	class2	final_class
ENSG00000008869	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000009413	moderate_expression	flat	cluster_3	bending	bending
ENSG00000009790	upregulation	NA	NA	NA	upregulation
ENSG00000009844	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000009954	downregulation	NA	NA	NA	downregulation
ENSG00000010017	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000010165	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000010219	variable	variable	cluster_3	bending	bending
ENSG00000010244	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000010256	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000010270	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000010278	variable	variable	cluster_3	bending	bending
ENSG00000010292	downregulation	NA	NA	NA	downregulation
ENSG00000010295	variable	variable	cluster_2	upregulation	upregulation
ENSG00000010322	variable	variable	cluster_2	upregulation	upregulation
ENSG00000010327	upregulation	NA	NA	NA	upregulation
ENSG00000010361	variable	variable	cluster_3	bending	bending
ENSG00000010539	moderate_expression	flat	cluster_3	bending	bending
ENSG00000010610	upregulation	NA	NA	NA	upregulation
ENSG00000010803	downregulation	NA	NA	NA	downregulation
ENSG00000010810	downregulation	NA	NA	NA	downregulation
ENSG00000010818	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011028	upregulation	NA	NA	NA	upregulation
ENSG00000011052	peaking	H012	NA	NA	peaking
ENSG00000011105	variable	variable	cluster_3	bending	bending
ENSG00000011258	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011260	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000011275	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000011295	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011304	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011376	downregulation	NA	NA	NA	downregulation
ENSG00000011405	variable	variable	cluster_3	bending	bending
ENSG00000011426	downregulation	NA	NA	NA	downregulation
ENSG00000011451	peaking	H006	NA	NA	peaking
ENSG00000011478	variable	variable	cluster_3	bending	bending
ENSG00000011485	downregulation	NA	NA	NA	downregulation
ENSG00000011523	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011566	variable	variable	cluster_1	downregulation	downregulation
ENSG00000011600	upregulation	NA	NA	NA	upregulation
ENSG00000011638	variable	variable	cluster_3	bending	bending
ENSG00000012048	downregulation	NA	NA	NA	downregulation
ENSG00000012061	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000012174	moderate_expression	flat	cluster_3	bending	bending
ENSG00000012211	variable	variable	cluster_2	upregulation	upregulation
ENSG00000012232	variable	variable	cluster_1	downregulation	downregulation
ENSG00000012660	downregulation	NA	NA	NA	downregulation
ENSG00000012779	peaking	H018	NA	NA	peaking
ENSG00000012822	bending	H006	NA	NA	bending
ENSG00000012963	variable	variable	cluster_1	downregulation	downregulation
ENSG00000012983	downregulation	NA	NA	NA	downregulation
ENSG00000013275	variable	variable	cluster_3	bending	bending
ENSG00000013288	upregulation	NA	NA	NA	upregulation
ENSG00000013306	variable	variable	cluster_1	downregulation	downregulation
ENSG00000013364	upregulation	NA	NA	NA	upregulation
ENSG00000013503	variable	variable	cluster_1	downregulation	downregulation
ENSG00000013523	moderate_expression	flat	cluster_3	bending	bending
ENSG00000013561	high_expression	flat	cluster_3	bending	bending
ENSG00000013563	variable	variable	cluster_2	upregulation	upregulation
ENSG00000013573	downregulation	NA	NA	NA	downregulation
ENSG00000013583	upregulation	NA	NA	NA	upregulation
ENSG00000013810	downregulation	NA	NA	NA	downregulation
ENSG00000014123	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000014138	variable	variable	cluster_1	downregulation	downregulation
ENSG00000014216	variable	variable	cluster_2	upregulation	upregulation
ENSG00000014257	upregulation	NA	NA	NA	upregulation
ENSG00000014914	peaking	H048	NA	NA	peaking
ENSG00000014919	variable	variable	cluster_2	upregulation	upregulation
ENSG00000015133	downregulation	NA	NA	NA	downregulation
ENSG00000015153	downregulation	NA	NA	NA	downregulation
ENSG00000015285	variable	variable	cluster_2	upregulation	upregulation
ENSG00000015413	downregulation	NA	NA	NA	downregulation
ENSG00000015475	variable	variable	cluster_2	upregulation	upregulation
ENSG00000015479	downregulation	NA	NA	NA	downregulation
ENSG00000017260	high_expression	flat	cluster_3	bending	bending
ENSG00000017483	downregulation	NA	NA	NA	downregulation
ENSG00000018189	variable	variable	cluster_3	bending	bending
ENSG00000018280	upregulation	NA	NA	NA	upregulation
ENSG00000018510	moderate_expression	flat	cluster_2	upregulation	upregulation
ENSG00000018610	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000018699	variable	variable	cluster_1	downregulation	downregulation
ENSG00000019144	peaking	H072	NA	NA	peaking
ENSG00000019169	upregulation	NA	NA	NA	upregulation
ENSG00000019582	variable	variable	cluster_1	downregulation	downregulation
ENSG00000019991	peaking	H036	NA	NA	peaking
ENSG00000019995	variable	variable	cluster_1	downregulation	downregulation
ENSG00000020256	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000020426	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000020577	bending	H036	NA	NA	bending
ENSG00000020922	downregulation	NA	NA	NA	downregulation
ENSG00000021300	variable	variable	cluster_3	bending	bending
ENSG00000021355	upregulation	NA	NA	NA	upregulation
ENSG00000021574	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000021776	variable	variable	cluster_1	downregulation	downregulation
ENSG00000022267	downregulation	NA	NA	NA	downregulation
ENSG00000022277	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000022567	variable	variable	cluster_3	bending	bending
ENSG00000022976	moderate_expression	flat	cluster_1	downregulation	downregulation
ENSG00000023171	variable	variable	cluster_3	bending	bending
ENSG00000023191	upregulation	NA	NA	NA	upregulation
ENSG00000023287	high_expression	flat	cluster_3	bending	bending
ENSG00000023318	upregulation	NA	NA	NA	upregulation
ENSG00000023330	variable	variable	cluster_2	upregulation	upregulation
ENSG00000023516	variable	variable	cluster_3	bending	bending
ENSG00000023608	variable	variable	cluster_1	downregulation	downregulation
ENSG00000023734	downregulation	NA	NA	NA	downregulation
ENSG00000023892	bending	H009	NA	NA	bending
ENSG00000023902	upregulation	NA	NA	NA	upregulation
ENSG00000024048	variable	variable	cluster_2	upregulation	upregulation
ENSG00000024526	downregulation	NA	NA	NA	downregulation
ENSG00000024862	variable	variable	cluster_3	bending	bending
ENSG00000025039	upregulation	NA	NA	NA	upregulation
ENSG00000025156	downregulation	NA	NA	NA	downregulation
ENSG00000025293	high_expression	flat	cluster_2	upregulation	upregulation
ENSG00000025434	upregulation	NA	NA	NA	upregulation
ENSG00000025708	upregulation	NA	NA	NA	upregulation
ENSG00000025770	variable	variable	cluster_1	downregulation	downregulation
ENSG00000025772	downregulation	NA	NA	NA	downregulation
ENSG00000026025	peaking	H120	NA	NA	peaking
ENSG00000026103	upregulation	NA	NA	NA	upregulation
ENSG00000026297	upregulation	NA	NA	NA	upregulation
ENSG00000026559	peaking	H012	NA	NA	peaking
ENSG00000026751	upregulation	NA	NA	NA	upregulation
ENSG00000027075	variable	variable	cluster_1	downregulation	downregulation
ENSG00000027697	upregulation	NA	NA	NA	upregulation
ENSG00000028116	downregulation	NA	NA	NA	downregulation
ENSG00000028137	upregulation	NA	NA	NA	upregulation
ENSG00000028277	bending	H006	NA	NA	bending
ENSG00000028310	variable	variable	cluster_1	downregulation	downregulation
ENSG00000028528	variable	variable	cluster_2	upregulation	upregulation
ENSG00000028839	variable	variable	cluster_1	downregulation	downregulation
ENSG00000029363	variable	variable	cluster_1	downregulation	downregulation
ENSG00000029364	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000029725	high_expression	flat	cluster_1	downregulation	downregulation
ENSG00000029993	downregulation	NA	NA	NA	downregulation
