class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	no	0	ns	10.0097	0.00364996350036	0.00813582747995753	-0.0433493834403153	0.893586718347708	0.963237838128899	NA	NA	NA	no_peak
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	no	0	ns	7.8466	9.999900001e-06	2.31655684598556e-05	0.103482190883582	0.748938033405302	0.908554004449495	NA	NA	NA	no_peak
ENSG00000000460	downregulation	NA	NA	NA	downregulation	no	0	ns	10.6455	0.122108778912	0.234061282713729	-0.333239301928196	0.289836097685858	0.633183948018704	NA	NA	NA	no_peak
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	0.454628381058142	significant	21.0939	1	1	-0.92197271048071	1.99595656568453e-05	0.00179945121486471	-0.826637209356785	0.000914615816373294	0.010118774007486	negatively_correlated
ENSG00000000971	upregulation	NA	NA	NA	upregulation	no	0	significant	6.8592	9.999900001e-06	2.31655684598556e-05	0.428789940193888	0.164268637969993	0.479974735475187	NA	NA	NA	no_peak
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.82833686440678	ns	11.2135	0.262597374026	0.395648372591758	-0.40102556647444	0.196363219207826	0.52293456314419	-0.705997993837989	0.0102911732307846	0.0452332962934486	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	no	0	ns	6.7046	9.999900001e-06	2.31655684598556e-05	0.309045167555016	0.328356857508349	0.66889925968428	NA	NA	NA	no_peak
ENSG00000001461	variable	variable	cluster_3	bending	bending	yes	0.206157173512664	ns	14.0991	0.271467285327	0.405399258867772	-0.600301879625518	0.0390383819475335	0.230385296660892	-0.468044083154186	0.124900369888427	0.24067462948764	stable
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	5.85880796891791	ns	5.3907	9.999900001e-06	2.31655684598556e-05	0.44638207470563	0.145767337292377	0.45417795069342	0.608174575455921	0.0358901298849028	0.10435745458841	stable
ENSG00000001617	downregulation	NA	NA	NA	downregulation	yes	0.513058199883434	significant	16.44	0.917260827392	1	-0.623380842209537	0.0303295061603347	0.197758243419418	-0.699638534068845	0.0113176252479007	0.0484308944570543	negatively_correlated
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	no	0	ns	13.2875	0.866031339687	1	-0.102714604703733	0.750747972099413	0.90872419136023	NA	NA	NA	no_peak
ENSG00000002549	upregulation	NA	NA	NA	upregulation	no	0	ns	16.0822	0.138888611114	0.258262615611936	-0.478786058803351	0.115320167939095	0.40457906687294	NA	NA	NA	no_peak
ENSG00000002586	variable	variable	cluster_3	bending	bending	no	0	ns	10.6296	0.173868261317	0.305058730203969	-0.383307324073767	0.218721037018845	0.551270495566039	NA	NA	NA	no_peak
ENSG00000002745	downregulation	NA	NA	NA	downregulation	yes	7.93325064832563	significant	19.7322	1	1	-0.974937894041785	7.4663911007607e-08	8.00322606620006e-05	-0.488034342254493	0.107471364174584	0.215703587564563	negatively_correlated
ENSG00000002834	upregulation	NA	NA	NA	upregulation	no	0	ns	9.4803	9.999900001e-06	2.31655684598556e-05	-0.070892439186959	0.826701928833874	0.936601749192367	NA	NA	NA	no_peak
ENSG00000002919	upregulation	NA	NA	NA	upregulation	no	0	ns	10.1207	0.0206397936021	0.0452023879543534	-0.196735864965426	0.539976500877282	0.81335575448977	NA	NA	NA	no_peak
ENSG00000003056	upregulation	NA	NA	NA	upregulation	no	0	ns	15.1809	0.790612093879	0.938113477276162	-0.123589669534202	0.701963222266277	0.891507597498825	NA	NA	NA	no_peak
ENSG00000003147	variable	variable	cluster_2	upregulation	upregulation	yes	0.267187665012145	significant	18.3657	1	1	-0.725410227255436	0.00758334975480338	0.0875505732633168	-0.748988863509574	0.00505635810153902	0.0291802040058282	negatively_correlated
ENSG00000003400	upregulation	NA	NA	NA	upregulation	yes	0.692927502782014	significant	13.8589	0.863691363086	1	-0.573688162103524	0.05113506519617	0.267866246161518	-0.754972768225446	0.00453127874314635	0.0274784497044276	negatively_correlated
ENSG00000003402	upregulation	NA	NA	NA	upregulation	no	0	ns	15.2906	0.180178198218	0.310976834281549	-0.320272343850054	0.31014962849556	0.654938342862064	NA	NA	NA	no_peak
ENSG00000003509	high_expression	flat	cluster_1	downregulation	downregulation	no	0	ns	11.6119	0.275817241828	0.409260736255423	-0.0415319518648715	0.89802716171223	0.964080818587683	NA	NA	NA	no_peak
ENSG00000003989	variable	variable	cluster_1	downregulation	downregulation	yes	0.0449752271944467	ns	10.9574	0.184068159318	0.316040813044393	0.148889980952766	0.644207438037462	0.86281624132606	0.0455072717857714	0.888318102629508	0.934958613338169	stable
ENSG00000004139	variable	variable	cluster_1	downregulation	downregulation	yes	0.825154698517772	significant	3.6153	9.999900001e-06	2.31655684598556e-05	0.680364911353407	0.014894521852247	0.130408368182337	0.399881684289662	0.19776231666329	0.33411167395186	not_correlated
ENSG00000004142	high_expression	flat	cluster_1	downregulation	downregulation	no	0	ns	9.5055	9.999900001e-06	2.31655684598556e-05	0.0931442551150512	0.773408787836357	0.918498017674217	NA	NA	NA	no_peak
ENSG00000004399	bending	H006	NA	NA	bending	no	0	ns	16.4194	0.30098699013	0.433455855780679	-0.0388548117910256	0.904572950018922	0.9667743948763	NA	NA	NA	no_peak
ENSG00000004455	downregulation	NA	NA	NA	downregulation	yes	0.274924390796328	ns	16.302	0.652283477165	0.795153288776911	-0.638788114505788	0.0253566086315006	0.181910783485833	0.358731209938951	0.252166184535633	0.396610892182258	stable
ENSG00000004468	downregulation	NA	NA	NA	downregulation	yes	0.07137845002339	significant	17.9362	1	1	-0.720505152360243	0.00821006421917872	0.0915431617470404	-0.740484370252219	0.00588006885210434	0.0322125511028325	negatively_correlated
ENSG00000004478	peaking	H009	NA	NA	peaking	yes	2.14265095020447	ns	6.7414	9.999900001e-06	2.31655684598556e-05	0.598117140137134	0.0399457717105019	0.232485550884053	0.704973565121288	0.0104516459869511	0.0455852559584713	stable
ENSG00000004487	downregulation	NA	NA	NA	downregulation	no	0	ns	17.4794	1	1	-0.417039881605008	0.177415533719039	0.500130959728187	NA	NA	NA	no_peak
ENSG00000004534	high_expression	flat	cluster_3	bending	bending	no	0.0106702707372916	ns	13.4876	0.19862801372	0.331253206494989	0.200001385405598	0.533132464244078	0.810494762104865	-0.14540899232539	0.652055697547002	0.756064581818303	peak_not_TSS
ENSG00000004700	high_expression	flat	cluster_2	upregulation	upregulation	no	0	ns	13.525	0.149448505515	0.273515311846749	-0.573838298360151	0.0510602573069346	0.267866246161518	NA	NA	NA	no_peak
ENSG00000004766	upregulation	NA	NA	NA	upregulation	no	0	ns	5.9596	9.999900001e-06	2.31655684598556e-05	0.352473636064306	0.261133256543899	0.602877239983933	NA	NA	NA	no_peak
ENSG00000004777	downregulation	NA	NA	NA	downregulation	no	0	ns	5.4727	9.999900001e-06	2.31655684598556e-05	0.493616810167512	0.102909883335342	0.384261137882681	NA	NA	NA	no_peak
ENSG00000004779	variable	variable	cluster_1	downregulation	downregulation	no	0	ns	7.4893	9.999900001e-06	2.31655684598556e-05	0.306642675142046	0.332326963374539	0.670337587088482	NA	NA	NA	no_peak
ENSG00000004809	variable	variable	cluster_1	downregulation	downregulation	no	0	significant	20.5252	1	1	-0.641829536770141	0.024449611085594	0.178227178550997	NA	NA	NA	no_peak
