H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000419	0.14	0.21	0.15	0.11	0.14	0.1	0.13	0.18	0.08	0.16	0.12	0.12
ENSG00000000457	0.15	0.26	0.12	0.15	0.14	0.13	0.1	0.19	0.09	0.18	0.1	0.12
ENSG00000000460	0.11	0.17	0.15	0.11	0.16	0.1	0.11	0.11	0.19	0.11	0.13	0.11
ENSG00000000938	7.87	6.98	10.33	8.74	7.07	7.53	4.52	5.03	2.64	0.25	0.1	0.13
ENSG00000000971	0.07	0.16	0.25	0.15	0.23	0.12	0.17	0.09	0.08	0.1	0.2	0.17
ENSG00000001036	5.52	5.85	8.83	5.07	6.77	4.36	6.47	6.23	7.95	5.61	4.28	3.66
ENSG00000001167	0.08	0.16	0.06	0.07	0.12	0.09	0.11	0.13	0.07	0.06	0.07	0.1
ENSG00000001461	5.07	7.31	6.58	6.23	4.9	6.84	8.83	5.19	6.52	6.33	3.96	2.53
ENSG00000001497	4.21	5.16	4.42	3.44	3.43	4.14	3.68	3.35	4.51	3.32	3.08	2.95
ENSG00000001617	4.34	5.83	3.28	3.63	4.6	4.24	4.21	4.09	3.41	5.44	8.55	16.7
ENSG00000001630	0.1	0.25	0.16	0.1	0.15	0.16	0.16	0.12	0.1	0.19	0.16	0.23
ENSG00000002549	0.15	0.13	0.15	0.2	0.13	0.14	0.11	0.17	0.14	0.2	0.14	0.12
ENSG00000002586	0.27	0.24	0.3	0.35	0.34	0.15	0.31	0.26	0.27	0.23	0.23	0.19
ENSG00000002745	2.87	4.34	3.09	3.02	4.66	4.56	3.5	3.88	4.59	3.17	2.57	3.63
ENSG00000002834	0.13	0.13	0.06	0.16	0.14	0.17	0.05	0.11	0.13	0.15	0.13	0.15
ENSG00000002919	0.26	0.19	0.19	0.22	0.17	0.28	0.24	0.39	0.32	0.26	0.17	0.12
ENSG00000003056	0.1	0.14	0.08	0.12	0.17	0.12	0.15	0.16	0.08	0.07	0.11	0.12
ENSG00000003147	10.59	9.97	9.04	9.68	8.02	13.76	10.14	8.53	6.25	7.09	4.43	3.78
ENSG00000003400	5.01	5.29	5.25	4.89	6.04	5.39	6.61	5.97	4.84	5.07	5.32	0.55
ENSG00000003402	0.18	0.12	0.11	0.11	0.12	0.1	0.08	0.14	0.07	0.14	0.12	0.07
ENSG00000003509	0.21	0.07	0.12	0.07	0.15	0.18	0.17	0.12	0.12	0.16	0.14	0.17
ENSG00000003989	0.62	0.82	1.01	2.92	2.65	1.51	0.65	0.62	1.69	0.54	0.52	2.59
ENSG00000004139	0.25	0.21	0.23	0.24	0.16	0.15	0.24	0.24	0.24	0.22	0.14	0.12
ENSG00000004142	0.23	0.23	0.15	0.16	0.22	0.17	0.15	0.14	0.18	0.13	0.13	0.14
ENSG00000004399	0.23	0.15	0.22	0.22	0.17	0.16	0.12	0.11	0.11	0.15	0.07	0.13
ENSG00000004455	7.74	9.44	12.17	10.66	10.27	8.96	9.91	10.08	12.32	9.72	10.97	14.36
ENSG00000004468	0.15	0.17	0.11	0.09	0.09	0.14	0.15	0.12	0.24	3.26	5.23	4.44
ENSG00000004478	8.76	8.65	9.02	13.45	9.99	10.13	10.14	11.5	12.04	6.97	6.72	4.89
ENSG00000004487	0.11	0.13	0.12	0.09	0.16	0.19	0.14	0.22	0.13	0.13	0.07	0.14
ENSG00000004534	0.08	0.12	0.15	0.13	0.12	0.1	0.11	0.07	0.14	0.09	0.1	0.09
ENSG00000004700	0.17	0.19	0.2	0.13	0.18	0.19	0.09	0.19	0.08	0.11	0.19	0.13
ENSG00000004766	0.2	0.16	0.21	0.2	0.2	0.11	0.18	0.24	0.16	0.19	0.2	0.19
ENSG00000004777	0.15	0.08	0.13	0.15	0.17	0.15	0.17	0.16	0.11	0.17	0.15	0.17
