H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000005486	1.05	2.42	1.87	2.25	3.57	3.12	2.91	3.62	4.89	3.52	4.53	8.68
ENSG00000005700	0.22	0.18	0.21	0.27	0.19	0.4	0.7	0.22	0.24	2.36	4.12	1.2
ENSG00000005801	3.52	2.92	3.73	3.67	3.63	2.8	2.23	0.24	0.21	0.2	0.56	0.41
ENSG00000005810	9.08	7.05	6.01	6.64	8.8	6.29	8.46	7.69	5.73	6.76	7.44	8.68
ENSG00000005812	7.23	10.45	8.89	7.5	7.08	6.54	7.11	10.22	5.95	9.24	12.39	14.03
ENSG00000005844	4.68	5.08	2.04	0.3	0.31	0.26	0.35	0.5	2.57	3.65	4.54	1
ENSG00000005882	2.98	0.91	1.92	0.81	1.08	1.06	1.18	10.1	3.83	2.84	3.16	4.31
ENSG00000005893	3.24	3.07	2.29	1.9	3.17	4.3	3.71	3.86	2.37	6.55	8.22	9.37
ENSG00000006007	2.17	0.75	1.6	4.27	0.79	0.71	0.99	0.36	0.3	1.26	4.63	4.37
ENSG00000006025	1.73	2.5	4.78	3.22	1.5	1.28	3.39	2.48	4	2.85	0.8	0.95
ENSG00000006042	0.43	2.11	0.4	0.45	0.53	0.47	0.47	0.45	0.41	0.36	0.25	0.21
ENSG00000006062	5.27	4.57	5.64	6.21	6.14	5.4	7.39	6.68	8.62	9.83	5.22	4.16
ENSG00000006118	3.37	3.36	3.44	1.91	3.6	3.43	3.23	4.36	3.37	5.15	7.13	11.64
ENSG00000006194	5.01	5.58	6.61	7.34	4.38	3.37	4.24	4.33	1.5	1.63	1.38	0.87
ENSG00000006282	0.4	0.36	0.44	0.34	0.39	0.57	0.6	0.75	4.49	1.11	0.24	0.18
ENSG00000006451	4.35	4.65	4.77	4.77	4.38	4.8	4.06	2.32	2.43	5.59	9.01	10.88
ENSG00000006459	5.95	6.55	5.82	7.68	12.59	18.92	18.92	17.74	16.85	18.24	28.02	30.57
