H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000005100	8.75	19.97	10.82	12.08	17.21	11.37	10.63	8.1	8.69	5.66	1.27	0.61
ENSG00000005156	1.07	0.94	1.85	0.49	3.37	0.78	0.89	4.56	2.83	0.5	0.41	0.3
ENSG00000005175	4.84	4.35	4.71	4.94	5.18	4.01	3.11	0.37	2.16	1.54	2.54	2.27
ENSG00000005194	1.26	0.78	0.57	2.3	1.43	1.94	1.27	1.38	3.16	3.09	1.94	1.79
ENSG00000005206	10.32	8.89	7.31	7.32	9.35	10.15	10.19	11.13	10.33	10.33	7.79	7
ENSG00000005238	10.83	6.77	3.33	2.56	1.09	2.77	3.13	2.89	4.35	6.98	8.97	12.45
ENSG00000005249	0.21	3.39	0.28	1.39	0.27	0.27	0.3	0.28	0.24	0.18	0.24	0.89
ENSG00000005302	2.8	4.09	3.93	4.3	3.79	3.27	4.98	6.08	4.32	4.07	2.92	2.27
ENSG00000005339	29.48	25.73	29.93	27.96	26.59	25.26	24.52	24.56	24.27	25.51	21.38	23.16
ENSG00000005379	4.62	6.06	4.95	4.95	3.82	3.93	4.46	5.92	6.61	14.39	6.87	3.86
ENSG00000005381	0.13	0.14	0.22	0.19	0.16	0.09	0.12	0.19	0.22	0.28	0.1	0.16
ENSG00000005436	1.05	0.48	0.32	2.87	0.31	2.91	0.41	0.26	0.25	0.2	0.78	1.48
ENSG00000005448	0.35	0.27	0.3	0.38	0.35	0.38	0.36	0.54	0.57	0.36	0.27	0.2
ENSG00000005469	0.18	0.18	0.18	0.18	0.2	0.21	0.21	0.17	0.15	0.15	0.37	1.32
ENSG00000005471	0.3	0.32	0.24	0.26	0.22	0.29	0.25	0.27	0.22	0.21	0.31	0.75
ENSG00000005483	24.12	17.09	9.57	10.66	9.09	15.26	15.83	13.87	10.95	12.47	18.6	23.17
ENSG00000005486	0.94	2.9	1.99	2.28	3.7	3.19	2.67	3.7	5.15	3.83	4.24	8.28
ENSG00000005700	0.2	0.18	0.2	0.25	0.19	0.33	0.53	0.23	0.25	2.7	3.84	1.19
ENSG00000005801	3.89	3.26	3.97	3.57	3.62	2.68	2.02	0.25	0.22	0.2	0.4	0.78
ENSG00000005810	9.61	7.43	6.31	6.78	8.84	6.35	8.48	7.98	5.97	6.89	7.14	8.31
ENSG00000005812	7.73	10.82	9.19	7.7	7.09	6.73	7.18	10.65	6.21	9.35	12.15	13.65
ENSG00000005844	5.11	5.49	2.27	0.28	0.31	0.26	0.34	0.85	2.92	3.95	4.22	1.34
ENSG00000005882	3.23	1.33	1.98	0.74	1.29	1.07	1.05	10.45	4.17	3.15	2.92	3.98
ENSG00000005889	11.29	15.16	17.25	15.73	18.37	16.67	19.12	17.26	22.86	17.09	20.1	20.32
ENSG00000005893	3.56	3.3	2.56	1.82	3.1	4.35	3.56	4.03	2.76	6.69	7.94	8.98
ENSG00000006007	2.25	1.11	1.57	4.49	0.83	0.69	0.86	0.43	0.34	1.41	4.36	4.03
ENSG00000006015	3.05	1.06	1.52	1.95	4.04	0.95	1.53	2.94	1.81	3.02	4.35	4.05
ENSG00000006025	1.69	2.76	5.13	3.35	1.59	1.27	3.23	2.63	4.28	3.15	0.69	0.86
ENSG00000006042	0.38	2.4	0.39	0.41	0.7	0.53	0.54	0.6	0.48	0.4	0.22	0.23
ENSG00000006059	0.23	0.14	0.18	0.23	0.4	0.36	0.17	0.19	0.23	0.22	0.14	0.16
ENSG00000006062	5.7	4.89	5.94	6.46	6.18	5.48	7.44	6.98	8.86	9.89	4.94	3.85
ENSG00000006118	3.77	3.71	3.78	1.79	3.65	3.52	3.09	4.54	3.71	5.33	6.85	11.25
ENSG00000006125	4.85	4.41	5.44	4.73	3.82	5.72	6.88	6.74	6.24	4.61	6.61	6.25
ENSG00000006128	0.14	0.19	0.15	0.17	0.18	0.16	0.16	0.12	0.17	0.18	0.35	1.76
ENSG00000006194	5.42	5.92	6.88	7.46	4.25	3.36	3.99	4.46	1.74	1.81	0.66	0.61
ENSG00000006282	0.36	0.45	0.43	0.33	0.5	0.68	0.69	1.06	4.75	1.23	0.2	0.17
ENSG00000006327	5.71	4.43	5.69	6.76	4.8	7.51	5.1	5.65	9.78	7.82	1.16	1.44
ENSG00000006377	0.38	4.06	0.32	0.57	0.5	0.85	0.55	0.73	0.38	0.31	0.12	0.62
ENSG00000006451	4.76	5	5.02	4.88	4.39	4.86	3.96	2.57	2.73	5.8	8.74	10.5
ENSG00000006459	6.4	6.9	6.12	7.89	12.61	18.96	18.9	17.97	17.1	18.21	27.92	30.8
ENSG00000006530	1.36	0.42	2.18	2.41	2.38	2.25	0.49	0.34	0.31	0.25	0.68	0.81
ENSG00000006534	0.27	0.26	0.35	0.37	3.05	3.54	3.41	4.27	3.75	3.47	2.58	4.15
ENSG00000006576	3.73	2.44	2.11	0.36	0.37	0.5	2.7	0.37	0.28	2.06	4.33	3.93
ENSG00000006607	6.89	7.8	7.26	8.25	6.78	7.27	6.92	9.89	8.57	9.13	7.16	6.63
ENSG00000006625	1.96	1.31	2.75	3.04	3.11	3.1	1.19	2.88	2.92	2.97	3.05	2.66
ENSG00000006634	2.83	4.62	5.46	6.38	5.2	5.61	5.37	3.24	4	2.87	1.47	2.06
ENSG00000006652	3.91	14.68	13.15	11.2	7.55	6.47	6.25	5.94	5.49	6.6	7.37	8.41
ENSG00000006695	5.77	7.54	5.88	5.17	6.42	5.77	8.95	7.34	6.18	5.13	5.09	4.51
ENSG00000006704	7.66	6.06	5.61	5.28	5.7	5.58	6.04	6.78	4.77	4.02	5.09	5.85
ENSG00000006712	1.99	2.55	1.74	2.59	4	5.05	3.31	2.97	3.07	3.87	2.73	1.68
ENSG00000006715	4.65	0.46	1.37	0.34	0.41	2.31	3.65	3.34	3.21	4.48	6.89	10.45
ENSG00000006744	4.01	4.77	5.89	3.79	5.91	6.82	9.74	6.45	6.08	5.48	7.52	5.34
ENSG00000006756	0.25	0.21	0.31	0.31	0.23	0.31	0.34	0.34	0.32	0.3	0.21	0.23
ENSG00000006831	8.24	8.58	10.48	8.21	8.35	8.7	9.78	12.67	7.44	6.04	7.23	5.78
ENSG00000007038	1.16	0.93	0.53	0.62	1.16	0.96	0.57	0.63	0.71	0.43	0.2	0.21
ENSG00000007047	10.17	8.49	12.05	14.22	13.4	13.22	12.76	15.77	13.58	13.09	11.42	12.55
ENSG00000007080	2.61	3.12	2.49	4.08	3.23	1.28	2.91	3.87	3.81	1.2	1.3	1.11
ENSG00000007129	8.6	9.73	6.66	5.23	6.62	8.09	5.57	6.05	5.87	4.39	6.16	6
ENSG00000007168	18.79	15.63	17.07	19.03	18.05	19.42	16.21	23.27	15.77	20.33	25.38	27.44
ENSG00000007202	7.25	10.73	9.49	9.37	9.31	8.84	9.08	12.52	10.68	8.89	8.1	8.94
ENSG00000007237	3.78	5.56	14.69	17.91	14.74	18.04	17.22	13.25	13.29	15.29	15.77	15.03
ENSG00000007255	0.32	0.62	1.9	2.43	0.72	1.92	0.94	0.38	1.98	2.88	3.69	5.24
ENSG00000007312	9.89	5.46	3.85	3.92	4.28	3.35	3.34	2.45	3.03	2.33	3.46	0.96
ENSG00000007341	1.75	2.18	0.87	1.49	3.36	4.13	5.17	3.13	3.12	4.75	9.76	12.25
ENSG00000007376	8.51	6.95	12.63	12.37	11.49	11.2	8.22	7.39	14.55	8.52	4.5	3.31
ENSG00000007384	2.34	2.42	2.09	1.58	2.77	3.33	4.96	4.8	5.19	4.04	2.97	0.75
ENSG00000007392	11.63	12.56	15.96	19.59	16.73	13.83	20.51	10.94	12.19	8.8	12.08	8.15
ENSG00000007520	1.61	1.43	2.79	1.64	1.61	1.03	1.56	1.58	2.63	1.3	1.48	0.79
ENSG00000007541	4.29	5.19	5.03	4.22	5.11	7.43	6.69	3.8	5.21	3.75	3.22	1.94
ENSG00000007545	7.81	7.72	9.56	10.38	6.38	7.95	6.61	8.02	7.85	6.41	4.72	6
ENSG00000007923	5.4	6.62	8.47	8.64	9.12	8.06	7.17	6.59	7.66	6.47	5.59	5.1
ENSG00000007944	14.5	10.84	11.39	7.57	10.69	11.33	13.19	12.16	15.79	20.13	31.5	31.19
ENSG00000007968	4.68	6.87	6.31	7.6	6.13	8.42	6.54	9.76	4.1	2.13	0.21	0.13
ENSG00000008018	11.53	8.04	8.75	9.3	9.85	11.78	7.75	6.96	8.62	8.15	11.81	10.73
ENSG00000008083	19.31	15.09	8.29	6.88	10.59	11.73	15.55	15.86	12.48	15.23	14.02	12.27
ENSG00000008128	0.18	0.24	2.59	1.9	3.28	2.63	2.48	0.23	0.34	0.34	0.2	0.17
ENSG00000008130	11.42	8.54	10.29	11.41	12.59	11.04	13.1	16.69	13.58	16.48	24.23	31.82
ENSG00000008196	0.34	0.86	3.8	0.32	0.69	0.65	0.43	0.83	0.41	0.3	0.24	0.33
ENSG00000008197	0.28	0.37	0.22	0.24	0.28	0.31	0.33	0.3	0.3	0.19	0.29	1.64
ENSG00000008256	5.44	6.09	5.97	4.38	3.97	5.7	5.37	3.3	3.4	9.88	6.49	9.51
ENSG00000008282	5.94	4.83	5.75	3.22	4.51	4.29	5.87	9.67	6.21	6.23	6.65	5.8
ENSG00000008283	1.43	0.96	0.51	0.45	0.59	0.37	0.33	0.45	0.43	0.42	0.26	0.31
ENSG00000008294	11.69	11.85	8.86	10.06	9	10.67	15.13	7.9	11.72	9.32	9.26	8.03
ENSG00000008311	4.23	0.56	3.68	2.88	2.88	2.76	3.5	2.69	2.06	0.22	0.55	1.78
ENSG00000008324	0.41	0.69	2.23	2.82	2.89	3.81	2.9	0.37	2.97	2.06	3.08	0.99
ENSG00000008382	3.36	2.89	4.02	6.51	3.49	3.28	5.78	4	5.1	4.99	6.87	3.53
ENSG00000008405	3.94	4.74	4.15	4.57	3.63	4.9	2.75	0.24	2.76	4.11	0.51	1.35
ENSG00000008441	13.59	13.23	13.95	12.51	9.36	8.56	7.55	7.98	9.31	7.04	3.47	2.21
ENSG00000008513	4.62	8.79	13.31	16.73	14.39	15.66	16.97	11.23	12.91	23.99	66.29	73.47
ENSG00000008710	7.9	7.54	12.68	13.47	9.06	7.7	7.38	5.98	8.05	6.15	6.31	5.66
ENSG00000008838	0.34	3.03	3.05	0.4	0.58	0.7	0.46	2.09	4.62	1.87	0.47	0.43
ENSG00000008853	8.16	8.32	7.17	5.6	6.52	4.7	4.35	5.58	6.52	6.53	9.44	3.84
ENSG00000008869	2.12	0.38	0.28	0.33	0.3	0.41	0.43	0.34	0.35	0.31	1.41	3.77
ENSG00000008952	8.68	7.32	6.9	6.52	8.37	6.61	6.33	7.11	5.13	5.58	8.01	7.97
ENSG00000008988	7.62	10.8	8.98	8.36	8.24	8.46	9.28	6.42	9.66	11.34	9.23	7.69
ENSG00000009307	18.65	22.02	19.2	17.73	19.55	22.09	19.69	14.93	15.15	17.38	19.75	17.3
ENSG00000009335	16.47	14.35	21.29	23.41	17.94	16.33	16.22	18.33	16.56	14.94	14.23	12.44
ENSG00000009413	4.03	6.6	3.63	3.66	5.45	4.89	5.8	5.18	3.98	2.75	4.81	5.04
ENSG00000009765	0.19	0.28	0.22	0.23	0.24	0.22	0.16	0.27	0.27	0.21	0.16	0.27
ENSG00000009780	0.29	0.36	0.27	0.3	0.35	0.34	0.33	0.37	0.27	0.28	0.65	0.55
ENSG00000009790	0.21	0.17	0.12	0.18	0.17	0.38	3.8	3.03	4	2.38	2.79	1.12
ENSG00000009830	0.38	0.72	2.04	3.58	3.49	2.84	3.64	4.07	2.75	2.06	0.67	0.32
ENSG00000009844	6.51	5.93	5.31	5.01	7.11	7.01	5.82	5.47	6.23	4.99	8.96	7.7
ENSG00000009954	13.13	12.1	12.69	14.57	14.82	14.59	13.96	11.98	9.2	5.06	7.6	7.03
ENSG00000010017	7.06	9.18	10.51	7.18	7.85	8.31	7.78	6.33	6.24	11.1	14.87	11.7
ENSG00000010072	4.95	6.87	8.25	6.22	4.47	3.85	6.76	4.65	5.21	5.65	5.62	5.01
ENSG00000010165	3.5	2.68	4.7	4.48	4.31	3.63	4.25	3.2	3.61	2.3	1.01	3.6
ENSG00000010219	0.22	0.28	0.25	0.21	0.27	0.26	0.24	0.38	2.58	5.14	4.06	0.29
ENSG00000010244	23.63	31.82	24.63	27.15	24.89	27.75	29.37	22.36	26.95	29.72	38.39	31.4
ENSG00000010256	2.89	5.92	3.62	6.18	5.65	4.5	5.91	5.04	8.16	5.91	5.5	5.05
ENSG00000010270	2.75	3.71	3.12	2.9	3.19	3.73	4.44	5.07	2.45	4.94	6.48	5.14
ENSG00000010278	8.23	4.27	5.05	3.53	3.51	4	3.79	6.71	4.18	6.09	18.53	32.55
ENSG00000010292	3	3.12	2.19	3.41	3.48	5.86	2.86	4.79	3.59	2.8	0.49	0.35
ENSG00000010295	10.29	9.07	11.72	13.56	13.16	11.88	15.26	10.62	18.97	23.12	12.99	8
ENSG00000010318	2.9	3.04	1.72	2.86	0.83	2.78	2.76	3.48	0.55	0.43	1.04	1.43
ENSG00000010322	5.32	5.73	4.31	4.08	3.91	3.85	3.51	4.8	4.32	5.02	6.25	6.04
ENSG00000010327	2.97	0.46	1.8	2.79	3.14	5.37	5.39	11.3	15.34	18.81	15.11	8.51
ENSG00000010361	0.2	0.19	0.25	0.31	0.32	0.37	0.3	0.25	1.98	1.9	0.18	0.2
ENSG00000010404	2.07	0.59	1.87	2.86	4.19	3.32	3.73	2.98	3.24	2.56	3.1	4.55
ENSG00000010539	0.27	0.25	0.18	0.2	0.29	0.1	0.15	0.13	0.12	0.18	0.29	0.35
ENSG00000010610	8.07	8.74	8.7	7.24	7.2	5.05	0.73	3.64	0.33	0.31	0.31	1.34
ENSG00000010626	0.22	0.15	0.19	0.21	0.17	0.15	0.2	0.18	0.26	0.25	0.19	0.17
ENSG00000010671	0.17	0.12	0.14	0.18	0.31	2.03	2.42	0.38	0.37	0.44	3.6	1.09
ENSG00000010803	9.12	5.53	4.65	4.8	3.77	3.46	3.91	3.99	3.72	3.03	3.17	1.13
ENSG00000010810	9.35	7.55	7.09	5.74	6.67	8.24	6.16	6.5	6.59	5.7	6.59	3.82
ENSG00000010818	7.53	6.32	4.75	4.84	3.85	3.79	2.95	3.3	0.23	3.66	4.97	4.73
ENSG00000011007	12.73	9.81	11.72	9.08	12.79	10.61	9.94	6.63	10.16	9.99	13.89	9.97
ENSG00000011009	5.41	5.52	5.18	4.42	3.17	2.63	4.77	3.33	6.1	6.9	3.26	2.26
ENSG00000011021	3.53	0.85	3.24	5.46	4.79	6.17	4.37	7.32	6.67	6.03	5.66	5.13
ENSG00000011028	3.7	3.29	4.52	3.24	4.55	4.06	8.74	11.09	16.39	10.45	10.41	11.86
ENSG00000011052	4.44	6.13	8.37	9	9.39	6.26	5.67	5.07	5.49	4.77	3.62	4.27
ENSG00000011105	9.34	8.38	6.16	5.52	7.25	5.13	7.46	10.61	10.07	13.11	6.55	4.55
ENSG00000011114	5.48	6.77	6.63	6.27	6.39	5.97	6.42	5.21	6.78	7.33	6.9	9.07
ENSG00000011132	0.46	0.55	0.42	2.16	0.68	0.67	0.74	0.84	0.67	1.59	3.33	1.94
ENSG00000011143	0.24	0.21	0.16	0.2	0.3	0.2	0.18	0.33	0.3	0.3	0.18	0.28
ENSG00000011198	0.32	0.66	2.7	1.77	2.5	0.46	0.47	0.41	0.27	0.3	0.76	1.68
ENSG00000011243	16.94	15.72	21.65	22.74	22.66	20.45	23.88	20.84	23.95	29.26	14.01	9.93
ENSG00000011258	6.76	7.1	5.53	5.37	6.31	4.6	6.67	3.72	2.66	1.51	5.29	6.95
ENSG00000011260	6.85	17.11	14.67	8.35	8.84	9.27	5.97	8.36	8.6	5.19	5.61	6.65
ENSG00000011275	9	11.11	7.18	8.16	9.77	6.63	5.86	9.93	5.45	5.77	6.73	7.14
ENSG00000011295	4.58	3.94	5.17	5.15	5.87	4.43	4.98	4.96	4.72	4.37	4.22	4.29
ENSG00000011304	61.67	60.37	65.47	62.59	63.89	55.77	54.7	59.11	63.25	57.49	43.82	48.19
