H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.35	0.37	0.28	0.23	0.28	0.3	0.31	0.22	0.2	0.33	0.44	0.46
ENSG00000000419	0.06	0.11	0.06	0.08	0.11	0.06	0.11	0.06	0.06	0.06	0.11	0.09
ENSG00000000457	0.09	0.17	0.11	0.15	0.13	0.13	0.13	0.11	0.16	0.11	0.18	0.15
ENSG00000000460	4.7	4.66	2.64	2.61	4.27	3.27	4.38	5.14	4.68	3.8	3.62	5.4
ENSG00000000938	0.21	0.15	0.11	0.14	0.17	0.12	0.13	0.17	2.76	0.16	0.09	0.09
ENSG00000000971	10.48	11.99	13.34	15.02	13.71	12.69	10.74	10.65	12.91	11.48	11.4	13.31
ENSG00000001036	2.73	3.23	7.76	3.96	3.37	3.31	3.66	2.57	3.21	3.17	4.1	3.72
ENSG00000001084	0.47	0.62	0.29	0.45	0.46	0.28	0.68	0.35	0.25	0.36	1.03	3.35
ENSG00000001167	0.04	0.04	0.1	0.1	0.07	0.08	0.05	0.05	0.08	0.05	0.03	0.07
ENSG00000001461	0.16	0.1	0.13	0.16	0.11	0.11	0.17	0.11	0.19	0.16	0.09	0.15
ENSG00000001497	0.62	1.05	2.66	1.43	0.59	0.76	0.39	1.79	2.02	0.52	1.53	3.59
ENSG00000001617	0.11	0.1	0.09	0.08	0.1	0.08	0.09	0.07	0.08	0.06	0.09	0.12
ENSG00000001629	0.31	0.28	0.12	0.27	0.27	0.2	0.24	0.26	0.25	0.18	0.28	0.43
ENSG00000001630	1.97	4.17	2.16	4.16	2.72	1.64	3.08	3.2	4.79	1.91	2.28	3.51
ENSG00000001631	0.12	0.16	0.11	0.11	0.17	0.18	0.21	0.13	0.17	0.15	0.22	0.2
ENSG00000002016	0.42	0.22	1.44	0.33	0.56	0.21	0.27	0.21	0.2	0.12	0.11	0.12
ENSG00000002330	0.08	0.07	0.06	0.07	0.06	0.05	0.05	0.08	0.06	0.07	0.07	0.06
ENSG00000002549	0.14	0.13	0.12	0.12	0.12	0.08	0.08	0.14	0.11	0.13	0.11	0.16
ENSG00000002586	1.91	1.17	2.56	2.33	1.01	0.92	2.51	2.71	2.18	1.91	0.36	0.32
ENSG00000002745	0.29	0.28	0.18	0.12	0.13	0.16	0.18	0.24	0.18	0.27	0.23	0.26
ENSG00000002822	7.57	10.11	9.36	7.86	5.81	7.26	11.63	5.64	7.64	6.76	7.74	6.96
ENSG00000002834	0.1	0.12	0.08	0.07	0.07	0.08	0.08	0.1	0.1	0.08	0.13	0.1
ENSG00000002919	3.52	3.58	2.81	3.55	3.24	4.27	3.67	3.07	3.27	4.43	4.9	4.28
ENSG00000003056	0.14	1.73	0.16	2.19	2.11	0.17	2.88	0.83	0.14	0.19	0.13	0.09
ENSG00000003147	0.32	0.31	0.34	0.28	0.31	0.42	0.32	0.25	0.34	0.27	1.08	1.16
ENSG00000003393	1.48	3.94	4.16	1.38	4.77	6.48	3.38	1.68	3.33	3.21	6.63	6.98
ENSG00000003400	4.07	4.79	1.72	2.42	1.39	1.33	2.27	2.93	3.07	3.16	4.1	1.49
