class	time_point	hc	class2	final_class	presence_of_peak	sum_coverage	maSigPro	score_alignment	pvalue_alignment	fdr_alignment	pearson_estimate_mark_level	pearson_pvalue_mark_level	pearson_fdr_mark_level	pearson_estimate_mark_coverage	pearson_pvalue_mark_coverage	pearson_fdr_mark_coverage	group
ENSG00000000419	high_expression	flat	cluster_1	downregulation	downregulation	no	0	ns	9.3928	9.999900001e-06	1.73021325162745e-05	-0.327336636972832	0.298987386695817	0.590979461052014	NA	NA	NA	no_peak
ENSG00000000457	moderate_expression	flat	cluster_2	upregulation	upregulation	no	0.485451465574544	ns	4.4592	9.999900001e-06	1.73021325162745e-05	0.135629460806859	0.674276581196315	0.858185206066629	0.184285877978601	0.566402353221638	0.717510727986787	peak_not_TSS
ENSG00000000460	downregulation	NA	NA	NA	downregulation	yes	0.787797438090625	ns	13.4314	0.642033579664	0.710421612884376	-0.141734047402772	0.660376541984572	0.850220239239396	0.279165231375006	0.379555377928623	0.567606191154006	stable
ENSG00000000938	upregulation	NA	NA	NA	upregulation	yes	0.0184024748155786	ns	7.4079	9.999900001e-06	1.73021325162745e-05	0.330416757302118	0.294192085771784	0.585612902515475	0.345348933214551	0.271565078260558	0.464398695008905	stable
ENSG00000000971	upregulation	NA	NA	NA	upregulation	yes	0.443688733649503	ns	11.2075	0.0731592684073	0.114919586328368	-0.241667083180303	0.449216886982471	0.713542894357697	0.758329789575044	0.00425538615357788	0.0372846791678303	stable
ENSG00000001036	upregulation	NA	NA	NA	upregulation	yes	0.948516949152542	ns	13.1677	0.741922580774	0.808692591776194	-0.0660829075152989	0.838317286677478	0.933379138130312	-0.349577716507657	0.265344897404629	0.458532915529537	stable
ENSG00000001167	variable	variable	cluster_1	downregulation	downregulation	no	0	ns	9.8378	9.999900001e-06	1.73021325162745e-05	0.279152382095665	0.379578235790458	0.659600353472707	NA	NA	NA	no_peak
ENSG00000001461	variable	variable	cluster_3	bending	bending	no	0.27460588344626	ns	9.3884	9.999900001e-06	1.73021325162745e-05	-0.245743296982327	0.441364707502886	0.70821747411409	0.118575283384787	0.713595312039074	0.822092157886929	peak_not_TSS
ENSG00000001497	downregulation	NA	NA	NA	downregulation	yes	0.159791683888567	ns	15.7051	0.854221457785	0.917890847854081	-0.432596721141818	0.160145472997239	0.437552959567142	-0.0915102787239037	0.77729453239544	0.865759696517099	stable
ENSG00000001617	downregulation	NA	NA	NA	downregulation	no	0	ns	6.1037	9.999900001e-06	1.73021325162745e-05	0.199921317685076	0.533299831675822	0.771603179884117	NA	NA	NA	no_peak
ENSG00000001630	variable	variable	cluster_1	downregulation	downregulation	yes	0.9377172123651	ns	10.0032	0.0010399896001	0.00172865172610288	0.364064337120753	0.244668210793282	0.536213354986368	0.368439495747122	0.238616419602233	0.429862677940167	stable
ENSG00000002549	upregulation	NA	NA	NA	upregulation	no	0	ns	9.2372	9.999900001e-06	1.73021325162745e-05	0.165392166680648	0.607464610413242	0.818858623739858	NA	NA	NA	no_peak
ENSG00000002586	variable	variable	cluster_3	bending	bending	yes	0.458038403253343	ns	13.0503	0.592444075559	0.661750720091636	-0.70262413447448	0.0108266977403561	0.119956759149285	-0.634026342467356	0.0268252397253004	0.112642372273816	stable
ENSG00000002745	downregulation	NA	NA	NA	downregulation	no	0	ns	12.137	0.152358476415	0.221717753826105	-0.117401600461735	0.716326160144838	0.878585469064159	NA	NA	NA	no_peak
ENSG00000002834	upregulation	NA	NA	NA	upregulation	no	0.105727852797151	ns	8.9635	9.999900001e-06	1.73021325162745e-05	0.148403363930568	0.645302586599175	0.841471219615358	0.122051131347336	0.705526123784122	0.817538902493344	peak_not_TSS
ENSG00000002919	upregulation	NA	NA	NA	upregulation	yes	0.728980569113178	ns	4.3859	9.999900001e-06	1.73021325162745e-05	0.522527900893055	0.0813505159040626	0.314576871039377	0.73510042538978	0.00645132471524438	0.0481173921640919	stable
ENSG00000003056	upregulation	NA	NA	NA	upregulation	yes	0.0415768135944104	ns	13.3732	0.261587384126	0.335229284157641	-0.455308188394701	0.136915482926407	0.406293912749094	-0.412981182392506	0.182104952790691	0.362210944556804	stable
ENSG00000003147	variable	variable	cluster_2	upregulation	upregulation	no	0.311668338789735	significant	4.8264	9.999900001e-06	1.73021325162745e-05	0.723299597600498	0.00784846085516057	0.103838897877992	0.843033978157672	0.000572987486185921	0.0108799137815223	peak_not_TSS
ENSG00000003400	upregulation	NA	NA	NA	upregulation	yes	0.31636648394675	ns	11.1747	0.143108568914	0.210276634653142	0.00231054882316232	0.99431392423011	0.997335551214861	-0.108653137530831	0.736775827112538	0.839061790207492	stable
ENSG00000003402	upregulation	NA	NA	NA	upregulation	yes	0.177441518599003	ns	16.4655	1	1	-0.189640705988875	0.55497271423242	0.786799239986994	-0.563525944466748	0.0563792637723211	0.175165300612048	stable
ENSG00000003509	high_expression	flat	cluster_1	downregulation	downregulation	yes	0.0708366634417196	ns	4.1781	9.999900001e-06	1.73021325162745e-05	0.203794068649792	0.525230232062295	0.76455075551957	0.166229124817949	0.60562224881108	0.743184840243485	stable
ENSG00000003989	variable	variable	cluster_1	downregulation	downregulation	no	2.54902895901227	ns	10.5423	0.0748392516075	0.117283214365383	0.166389953252625	0.605268464918514	0.817957888471166	0.235592535904448	0.461040779569611	0.632744212706799	peak_not_TSS
ENSG00000004139	variable	variable	cluster_1	downregulation	downregulation	no	0	ns	8.0119	9.999900001e-06	1.73021325162745e-05	0.23440410365144	0.463370961855025	0.726388534816354	NA	NA	NA	no_peak
ENSG00000004142	high_expression	flat	cluster_1	downregulation	downregulation	no	0	ns	9.1784	9.999900001e-06	1.73021325162745e-05	0.0339500547132624	0.916579302846636	0.966023336639781	NA	NA	NA	no_peak
ENSG00000004399	bending	H006	NA	NA	bending	no	0	significant	4.7512	9.999900001e-06	1.73021325162745e-05	0.776027734150048	0.0030049240706411	0.0611859618528306	NA	NA	NA	no_peak
ENSG00000004455	downregulation	NA	NA	NA	downregulation	no	1.09046458025234	ns	4.7857	9.999900001e-06	1.73021325162745e-05	0.790960955776519	0.0021865888590385	0.05039833995369	0.423004722650954	0.170662062101869	0.347138641588075	peak_not_TSS
