gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000174238.14 	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000131981.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000088992.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105419.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000171208.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000124275.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000174177.12 	1	1	1	1	1	0	0	0	0	0	0	0
ENSG00000168280.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000165568.17 	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000120594.16 	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000171703.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000125746.14 	1	1	1	1	1	0	0	1	1	1	1	0
ENSG00000168769.12 	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000162433.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000037965.5 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198598.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000187714.6 	1	1	0	1	0	0	0	1	1	0	0	0
ENSG00000164093.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000164853.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000142102.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000188070.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000070759.16 	1	1	1	1	1	1	1	1	1	0	0	0
ENSG00000136826.14 	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000186895.2 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000135540.11 	1	1	1	1	1	0	1	1	1	1	1	1
ENSG00000164904.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000179083.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000134871.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000147364.16 	1	0	0	1	1	0	1	1	1	0	0	0
ENSG00000152684.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000114993.15 	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000153976.2 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000141905.17 	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000170458.13 	1	1	1	1	1	1	1	1	1	0	0	0
ENSG00000130821.15 	1	0	0	1	1	1	0	1	1	1	1	0
ENSG00000166341.7 	1	1	0	1	1	1	0	1	1	1	0	0
ENSG00000141447.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000136378.14 	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000133101.9 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000155229.20 	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000170525.18 	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000174740.7 	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000205476.8 	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000122585.7 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000169251.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000188191.14 	1	0	0	0	1	0	0	0	1	0	0	0
ENSG00000176774.5 	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000119684.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000067057.16 	1	1	1	1	1	1	1	1	1	1	1	0
ENSG00000001461.16 	1	1	1	1	1	1	1	1	1	1	0	0
ENSG00000100116.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000184986.10 	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000121680.15 	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000213853.9 	1	1	1	1	1	1	1	1	1	1	1	1
