H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000005486	0.07	0.08	0.08	0.07	0.1	0.08	0.09	0.07	0.07	0.06	0.06	0.05
ENSG00000005700	0.06	0.08	0.08	0.07	0.07	0.22	0.07	0.12	0.08	0.1	0.08	0.06
ENSG00000005801	1.53	1.62	1.57	1.44	1.68	1.68	1.75	1.43	1.53	1.53	1.43	1.38
ENSG00000005810	0.13	0.14	0.32	0.37	0.34	0.16	0.13	0.11	0.1	0.1	0.14	0.09
ENSG00000005812	0.05	0.05	0.05	0.06	0.06	0.05	0.05	0.07	0.06	0.05	0.05	0.05
ENSG00000005844	0.07	0.05	0.05	0.06	0.05	0.05	0.06	0.09	0.22	0.18	0.12	0.08
ENSG00000005882	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.03
ENSG00000005893	0.11	0.1	0.08	0.1	0.09	0.11	0.12	0.1	0.09	0.12	0.19	0.13
ENSG00000006007	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.05
ENSG00000006025	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.03	0.03
ENSG00000006042	0.06	0.05	0.05	0.06	0.04	0.05	0.06	0.05	0.05	0.05	0.06	0.06
ENSG00000006062	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03
ENSG00000006118	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.04
ENSG00000006194	1.75	1.72	1.88	1.93	1.86	1.95	1.76	1.93	1.77	1.98	1.74	1.68
ENSG00000006282	0.04	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.03	0.02	0.02	0.02
ENSG00000006451	0.25	0.19	0.19	0.14	0.25	0.18	0.17	0.16	0.14	0.13	0.17	0.17
ENSG00000006459	0.06	0.05	0.06	0.07	0.07	0.09	0.08	0.21	0.19	0.48	0.39	0.31
ENSG00000006530	0.05	0.06	0.05	0.05	0.04	0.05	0.05	0.05	0.05	0.04	0.05	0.05
ENSG00000006534	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02
ENSG00000006576	0.06	0.08	0.07	0.07	0.08	0.09	0.06	0.06	0.06	0.06	0.05	0.05
ENSG00000006607	0.08	0.09	0.07	0.23	0.09	0.1	0.09	0.25	0.09	0.09	0.15	0.2
ENSG00000006625	0.35	0.38	0.31	0.41	0.38	0.3	0.34	0.21	0.17	0.29	0.3	0.06
ENSG00000006634	0.06	0.06	0.05	0.05	0.07	0.06	0.06	0.06	0.06	0.07	0.05	0.05
ENSG00000006695	0.19	0.3	0.21	0.08	0.05	0.27	0.26	0.06	0.05	0.06	0.05	0.04
ENSG00000006704	0.34	0.1	0.35	0.29	0.3	0.35	0.41	0.56	0.54	0.46	0.4	0.53
ENSG00000006712	0.03	0.02	0.02	0.03	0.02	0.04	0.03	0.02	0.02	0.03	0.04	0.03
ENSG00000006715	0.09	0.1	0.09	0.08	0.11	0.13	0.1	0.08	0.09	0.12	0.15	0.3
ENSG00000006744	0.04	0.03	0.03	0.03	0.04	0.05	0.04	0.04	0.04	0.05	0.03	0.04
ENSG00000006831	0.26	0.3	0.22	0.28	0.28	0.18	0.4	0.18	0.18	0.18	0.28	0.13
ENSG00000007038	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.02
ENSG00000007047	0.29	0.28	0.31	0.3	0.27	0.14	0.14	0.11	0.14	0.11	0.2	0.34
ENSG00000007168	0.1	0.08	0.08	0.09	0.07	0.13	0.06	0.07	0.08	0.09	0.08	0.07
ENSG00000007376	0.02	0.02	0.02	0.02	0.03	0.03	0.01	0.03	0.03	0.02	0.02	0.03
ENSG00000007392	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04
ENSG00000007545	0.06	0.04	0.07	0.06	0.06	0.06	0.06	0.06	0.21	0.32	0.07	0.07
ENSG00000007923	0.07	0.05	0.06	0.06	0.06	0.06	0.05	0.05	0.06	0.07	0.07	0.08
