gene_id	H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000165752.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172794.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000143374.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000131042.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000186493.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000280427.1 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000171861.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000162076.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000185339.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000167889.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000143398.19 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000198728.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000083812.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000106591.3 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000178150.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000113732.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000204822.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000117899.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000136732.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000168675.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000114354.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000095932.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000067082.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000024862.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000186230.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000132950.18 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000197622.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000105127.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000162852.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000084093.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000196214.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000176887.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000169609.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000104885.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000137815.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000112186.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000092470.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000163660.11 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000147408.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000186470.13 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000185885.15 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000128322.6 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000196437.10 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000158109.14 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000148339.12 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000015676.17 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000116171.16 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000172115.8 	1	1	1	1	1	1	1	1	1	1	1	1
ENSG00000136878.12 	1	1	1	1	1	1	1	1	1	1	1	1
