H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
ENSG00000000005	0.14	0.17	0.16	0.11	0.12	0.08	0.21	0.11	0.12	0.14	0.11	0.22
ENSG00000000419	3.1	3.46	2.39	2.61	2.87	3.6	3.66	2.37	2.19	4.38	2.73	3.78
ENSG00000000457	0.07	0.08	0.07	0.05	0.05	0.03	0.09	0.06	0.05	0.03	0.07	0.07
ENSG00000000460	0.14	0.25	0.21	0.11	0.16	0.21	0.14	0.15	0.17	0.08	0.15	0.08
ENSG00000000938	0.09	0.09	0.07	0.11	0.07	0.11	0.04	0.04	0.04	0.07	0.04	0.05
ENSG00000000971	0.02	0.04	0.03	0.03	0.02	0.04	0.07	0.02	0.04	0.03	0.08	0.07
ENSG00000001036	0.18	0.05	0.18	0.1	0.06	0.05	0.1	0.06	0.11	0.07	0.05	0.06
ENSG00000001084	0.09	0.13	0.1	0.07	0.22	0.1	0.17	0.1	0.15	0.13	0.17	0.15
ENSG00000001167	2.68	2.88	1.59	2.54	2.69	2.2	2.59	2.01	1.05	1.68	2.17	4.29
ENSG00000001461	0.08	0.08	0.07	0.1	0.06	0.06	0.17	0.08	0.08	0.1	0.04	0.07
ENSG00000001497	0.05	0.05	0.03	0.05	0.07	0.07	0.07	0.04	0.08	0.05	0.04	0.05
ENSG00000001617	0.14	0.12	0.21	0.1	0.08	0.07	0.04	0.07	0.09	0.07	0.06	0.1
ENSG00000001629	8.38	10.75	7.43	6.51	4.33	5.41	5.05	6.62	8.68	7.77	12.55	10.99
ENSG00000001630	0.08	0.06	0.04	0.1	0.11	0.1	0.12	0.06	0.08	0.06	0.08	0.12
ENSG00000001631	2.77	1.11	3.63	3.37	3.45	2.41	2.85	1.74	2.63	3.32	2.91	3.31
ENSG00000002016	0.15	0.17	0.12	0.19	0.12	0.19	0.18	0.3	0.23	0.17	0.13	0.15
ENSG00000002330	2.05	0.36	0.54	0.44	0.34	0.41	0.31	0.36	0.67	0.35	0.47	0.96
ENSG00000002549	0.03	0.07	0.06	0.06	0.09	0.08	0.06	0.08	0.11	0.09	0.08	0.1
ENSG00000002586	0.22	0.15	0.15	0.14	0.08	0.1	0.13	0.12	0.11	0.09	0.07	0.08
ENSG00000002745	5.14	6.27	4.53	3.56	1.59	2.46	1.32	0.27	0.2	0.12	0.12	0.08
ENSG00000002822	5.68	4.81	5.03	6.53	4.95	5.76	6.31	6.58	7.38	5.7	5.44	6.04
ENSG00000002834	0.08	0.05	0.04	0.04	0.11	0.06	0.08	0.04	0.06	0.07	0.04	0.06
ENSG00000002919	1.23	0.51	0.99	2.33	0.7	0.71	0.74	0.46	0.34	0.47	0.54	0.43
ENSG00000003056	3.68	4.25	5.12	6.14	3.28	3.7	3.64	5.23	3.91	3.9	4.46	4.96
ENSG00000003147	0.05	0.11	0.12	0.06	0.06	0.11	0.12	0.09	0.14	0.12	0.13	0.12
ENSG00000003393	0.04	0.04	0.04	0.07	0.05	0.08	0.1	0.05	0.09	0.08	0.07	0.07
ENSG00000003400	0.68	0.43	0.58	0.68	0.47	0.47	0.41	0.61	0.78	0.87	0.61	0.59
ENSG00000003402	0.2	0.22	0.15	0.23	0.3	0.21	0.25	0.28	0.29	0.21	0.42	0.46
ENSG00000003509	9.76	9.25	8.55	8.98	11.16	9.8	11.34	8.54	7.4	8.9	6.8	6.1
ENSG00000003756	0.17	0.12	0.11	0.22	0.18	0.18	0.12	0.13	0.16	0.07	0.21	0.04
ENSG00000003989	0.05	0.08	0.07	0.06	0.06	0.1	0.1	0.08	0.1	0.16	0.08	0.04
ENSG00000004059	3.36	3.23	3.26	2.84	4.16	4.11	2.92	2.73	1.65	4.47	1.71	2.84
ENSG00000004139	11.5	11.15	7.51	11.96	10.54	11.6	10.96	10.76	12.38	12.64	12.85	13.36
ENSG00000004142	11.39	10.72	7.2	11.55	10.23	11.51	10.82	10.88	12.04	12.46	12.96	13.52
ENSG00000004399	0.1	0.11	0.08	0.06	0.12	0.06	0.04	0.07	0.07	0.11	0.11	0.08
ENSG00000004455	0.34	0.1	0.38	0.24	0.18	0.24	0.15	0.2	0.17	0.24	0.17	0.2
ENSG00000004468	0.78	1.54	0.89	0.7	0.36	0.48	0.46	0.47	0.31	0.19	0.21	0.51
ENSG00000004478	0.21	0.15	0.14	0.15	0.12	0.17	0.04	0.14	0.16	0.13	0.18	0.13
ENSG00000004487	0.09	0.08	0.08	0.07	0.1	0.07	0.06	0.1	0.08	0.06	0.04	0.06
ENSG00000004534	0.1	0.08	0.06	0.06	0.11	0.11	0.06	0.09	0.09	0.07	0.06	0.05
ENSG00000004700	1.95	0.7	0.56	0.75	3.33	1.08	2.39	0.61	1.75	2.55	0.79	1.24
ENSG00000004766	0.03	0.04	0.01	0.05	0.03	0.02	0.06	0.03	0.02	0.04	0.01	0.03
ENSG00000004777	0.62	0.86	0.51	0.44	0.7	1.7	0.89	0.62	0.67	0.5	0.56	0.39
ENSG00000004779	1.92	3.16	3.38	3.23	3.4	3.43	2.7	3.17	3.16	3.21	4.35	3.81
ENSG00000004809	2.72	2.72	3.25	3.31	3.51	2.99	2.3	2.44	2.75	0.63	0.35	0.46
ENSG00000004864	0.1	0.14	0.09	0.12	0.11	0.12	0.11	0.09	0.21	0.07	0.14	0.23
ENSG00000004866	0.09	0.09	0.07	0.07	0.08	0.09	0.12	0.11	0.08	0.08	0.11	0.08
ENSG00000004897	0.23	0.25	0.41	0.15	0.1	0.12	0.14	0.06	0.06	0.07	0.04	0.07
ENSG00000004961	0.4	0.36	0.14	0.26	0.13	0.22	0.23	0.18	0.18	0.19	0.13	0.22
ENSG00000004975	7.5	7.52	6.91	7.6	7.34	7.31	8.7	7.73	6.24	7.75	7.21	5.2
ENSG00000005007	0.11	0.39	0.26	0.34	0.25	0.28	0.23	0.21	0.22	0.3	0.28	0.11
ENSG00000005022	0.16	0.1	0.09	0.09	0.08	0.16	0.12	0.08	0.07	0.11	0.13	0.09
ENSG00000005059	1.87	0.54	1.19	2.22	2.11	0.88	1	1.81	2.66	2.82	2.1	1.32
ENSG00000005073	0.05	0.04	0.07	0.06	0.03	0.03	0.04	0.06	0.03	0.06	0.06	0.1
ENSG00000005075	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02
ENSG00000005100	4.69	4.3	3.85	4.46	4.23	4.32	4.87	4.75	3.61	5.51	5.71	5.15
ENSG00000005156	0.14	0.06	0.07	0.08	0.13	0.16	0.13	0.07	0.11	0.21	0.11	0.1
ENSG00000005175	0.26	0.2	0.38	0.34	0.19	0.16	0.23	0.23	0.08	0.09	0.16	0.17
ENSG00000005194	6.03	5.33	4.74	5.11	4.66	4.54	5.75	5.64	4.47	4.58	8.22	7.88
ENSG00000005206	3.24	1.63	3.19	3.03	2.19	4.98	2.66	2.99	2.97	2.63	3.04	4.06
ENSG00000005238	0.06	0.08	0.06	0.07	0.06	0.07	0.04	0.06	0.06	0.05	0.06	0.08
ENSG00000005249	0.19	0.19	0.11	0.23	0.17	0.16	0.09	0.11	0.15	0.21	0.13	0.1
ENSG00000005302	0.06	0.05	0.04	0.08	0.06	0.06	0.09	0.09	0.09	0.1	0.06	0.2
ENSG00000005339	0.11	0.1	0.08	0.11	0.09	0.06	0.05	0.1	0.11	0.09	0.11	0.18
ENSG00000005379	8.24	14.39	14.52	9.04	10.67	9.76	11.84	11.94	14.54	13.6	9.83	11.6
ENSG00000005381	0.18	0.1	0.07	0.13	0.1	0.1	0.05	0.1	0.14	0.11	0.07	0.06
ENSG00000005436	0.1	0.07	0.07	0.14	0.1	0.1	0.1	0.05	0.08	0.13	0.06	0.06
ENSG00000005448	0.12	0.07	0.08	0.08	0.06	0.05	0.07	0.08	0.14	0.06	0.09	0.11
ENSG00000005469	2.81	3.73	4.2	3.15	3.19	4.19	3.64	2.89	3.78	2.68	2.92	4.69
ENSG00000005471	0.14	0.16	0.1	0.1	0.08	0.1	0.13	0.13	0.15	0.19	0.09	0.13
ENSG00000005483	1.96	1.15	2.13	2.74	2.58	2.53	3.12	2.69	2.49	3.46	2.19	3.14
ENSG00000005486	0.09	0.06	0.2	0.12	0.23	0.13	0.24	0.26	2.04	0.46	0.38	0.3
ENSG00000005700	0.03	0.04	0.02	0.02	0.04	0.04	0.04	0.03	0.02	0.02	0.03	0.04
ENSG00000005801	0.13	0.08	0.15	0.12	0.09	0.15	0.15	0.13	0.19	0.1	0.12	0.16
ENSG00000005810	0.03	0.02	0.03	0.03	0.03	0.04	0.02	0.05	0.01	0.02	0.07	0.04
ENSG00000005812	0.27	0.12	0.31	0.28	0.08	0.18	0.29	0.19	0.18	0.23	0.24	0.16
ENSG00000005844	0.07	0.1	0.11	0.1	0.1	0.12	0.08	0.25	0.26	0.2	0.1	0.06
ENSG00000005882	0.12	0.07	0.03	0.08	0.04	0.04	0.03	0.08	0.08	0.03	0.13	0.12
ENSG00000005889	0.07	0.16	0.14	0.13	0.13	0.06	0.17	0.08	0.09	0.14	0.11	0.11
ENSG00000005893	0.12	0.12	0.14	0.1	0.11	0.09	0.07	0.06	0.04	0.07	0.09	0.11
ENSG00000006007	0.22	0.3	0.24	0.3	0.36	0.51	0.48	0.26	0.29	0.16	0.22	0.13
ENSG00000006015	0.17	0.19	0.09	0.15	0.1	0.07	0.07	0.07	0.09	0.04	0.04	0.05
ENSG00000006025	10.51	9.72	9.44	7.65	10.3	8.53	8.83	9.07	9.57	9.12	11.02	9.81
ENSG00000006042	0.05	0.08	0.06	0.03	0.08	0.04	0.04	0.05	0.09	0.06	0.06	0.06
ENSG00000006059	0.08	0.07	0.06	0.06	0.07	0.06	0.19	0.09	0.11	0.1	0.06	0.09
ENSG00000006062	0.11	0.09	0.04	0.1	0.08	0.07	0.03	0.06	0.06	0.04	0.03	0.05
ENSG00000006118	14.29	11.01	12.15	11.87	12.13	10.56	10.72	13.09	9.19	11.04	9.21	11.06
ENSG00000006125	4.35	5.74	4.21	4.29	5.62	5.53	5.68	4.34	5.25	5.95	4.68	4.66
ENSG00000006128	0.05	0.15	0.08	0.13	0.08	0.09	0.11	0.04	0.08	0.08	0.07	0.06
ENSG00000006194	0.11	0.09	0.21	0.11	0.08	0.1	0.14	0.14	0.12	0.13	0.1	0.07
ENSG00000006282	0.11	0.04	0.12	0.05	0.08	0.08	0.07	0.05	0.06	0.09	0.08	0.16
ENSG00000006327	0.04	0.06	0.07	0.06	0.06	0.05	0.05	0.06	0.05	0.04	0.08	0.1
