H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168	tHMM_pf
Peak1197510	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1197558	1	2	2	2	2	2	2	4	4	4	2	2	2
Peak1197637	1	2	2	2	2	4	4	4	4	4	4	2	2
Peak1197638	1	2	2	2	2	4	4	4	4	4	4	4	2
Peak1197748	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak1197836	2	2	2	2	1	1	1	1	1	1	1	1	7
Peak1198040	1	1	1	1	1	1	1	1	1	1	1	4	5
Peak1198041	1	1	1	1	1	1	1	1	1	1	1	4	5
Peak1198088	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1198167	2	4	4	2	2	2	2	2	2	1	1	1	7
Peak1198168	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak1198214	2	5	5	5	5	5	5	4	4	4	2	2	6
Peak1198215	4	5	5	5	5	5	5	5	5	4	4	2	6
Peak1198216	4	5	5	5	5	5	5	5	5	4	2	2	6
Peak1198217	4	5	5	5	5	5	5	5	5	4	2	2	6
Peak1198234	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1198262	4	4	4	4	2	2	2	4	4	4	4	4	3
Peak1198263	1	1	2	2	2	2	2	2	2	4	4	4	1
Peak1198264	1	1	2	2	2	2	2	2	2	4	4	4	1
Peak1198268	1	1	2	2	2	2	2	2	4	4	4	4	1
Peak1198291	4	3	5	5	5	5	4	4	4	4	4	4	6
Peak1198295	4	5	4	4	5	5	4	4	4	4	5	5	3
Peak1198296	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1198315	1	2	2	2	2	2	2	2	2	2	4	4	7
Peak1198317	2	2	2	2	2	2	2	2	4	4	4	2	2
Peak1198318	2	2	2	2	2	2	2	2	4	4	4	4	2
Peak1198320	2	1	1	2	2	2	2	2	4	4	4	4	2
Peak1198321	2	1	1	2	2	2	2	2	2	4	4	4	1
Peak1198352	1	1	1	1	1	1	2	2	4	4	4	4	1
Peak1198374	1	1	1	1	2	2	2	2	4	4	4	4	1
Peak1198385	1	2	4	4	4	5	5	5	5	4	4	4	6
Peak1198386	1	2	4	4	4	5	5	4	4	4	4	4	2
Peak1198392	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak1198396	2	5	5	5	5	5	5	5	5	5	5	5	6
Peak1198397	2	5	5	5	5	5	5	5	5	5	5	5	6
Peak1198462	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1198520	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1198549	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak1198596	1	1	1	1	2	2	2	4	4	4	4	4	1
Peak1198617	2	2	2	2	2	2	2	2	2	4	4	4	2
Peak1198618	1	1	1	1	1	1	1	2	2	2	4	4	1
Peak1198633	5	5	5	5	3	3	3	3	6	6	6	6	6
Peak1198634	3	3	3	3	3	3	3	3	6	6	6	6	4
Peak1198687	2	2	2	2	2	2	2	2	2	2	2	1	7
Peak1198688	2	2	2	2	4	2	2	2	2	2	2	2	7
Peak1198689	2	2	2	2	4	2	2	2	2	2	2	2	7
Peak1198690	4	4	4	4	4	4	2	2	2	2	2	2	4
Peak1198733	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1198760	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1198818	5	4	4	4	4	5	5	5	5	5	5	5	6
Peak1198819	5	5	4	4	4	5	5	5	5	5	5	5	6
Peak1198820	4	4	4	4	4	5	5	5	5	5	5	5	3
Peak1198831	2	4	4	4	4	4	4	2	4	4	2	2	3
Peak1198832	2	4	4	4	4	4	4	4	4	4	2	2	3
Peak1198856	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1198857	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1198862	2	5	5	5	5	5	5	5	5	5	5	5	6
Peak1198863	2	4	5	5	5	5	5	5	5	5	5	5	6
Peak1198864	2	4	4	4	5	5	5	5	5	5	5	5	6
Peak1198874	1	2	2	2	4	4	4	4	4	4	4	4	2
Peak1198875	1	2	2	2	4	4	4	4	4	4	4	4	2
Peak1198876	1	2	2	2	4	4	4	4	4	4	4	4	2
Peak1198879	1	1	2	2	2	2	2	4	4	4	4	4	2
Peak1198880	1	1	2	2	2	2	2	2	2	4	4	4	1
Peak1198896	4	4	4	4	4	4	4	5	5	5	5	5	3
Peak1198901	2	2	2	4	4	5	5	5	5	5	5	5	6
Peak1198902	2	2	2	4	4	5	5	5	5	5	5	5	6
Peak1198903	2	2	2	4	4	5	5	5	5	5	5	5	6
Peak1198943	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1199	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1199056	5	5	5	5	4	4	4	4	2	2	2	2	3
Peak1199057	5	5	5	5	5	5	4	4	2	2	2	2	6
Peak1199093	2	2	2	2	2	2	2	2	2	3	3	2	7
Peak1199094	2	2	2	2	2	3	2	2	2	3	3	3	7
Peak119912	5	5	5	5	5	5	6	6	6	6	6	6	6
Peak1199197	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1199198	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1199264	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak1199324	1	1	1	1	2	2	2	2	2	2	1	1	1
Peak1199325	1	1	1	1	1	2	2	2	2	2	1	1	1
Peak1199346	5	5	5	5	5	5	5	3	5	5	5	5	6
Peak1199347	3	3	3	3	3	3	3	3	5	5	5	5	6
Peak1199394	1	1	1	1	1	1	1	1	2	2	2	4	5
Peak1199425	3	3	3	3	3	3	3	3	3	3	3	6	6
Peak1199426	3	3	3	3	6	6	6	6	6	6	6	6	6
Peak1199427	3	3	3	3	6	6	6	6	6	6	6	6	1
Peak1199495	4	4	2	2	4	4	4	2	4	5	4	4	3
Peak1199496	4	4	4	4	4	4	4	4	4	5	5	4	3
Peak1199497	4	4	4	4	4	4	4	4	4	5	5	4	3
Peak1199584	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1199626	4	4	4	4	4	4	2	2	2	2	2	2	4
Peak1199627	2	4	4	4	4	4	2	2	2	2	2	2	4
Peak1199648	2	2	2	2	2	4	4	2	2	4	2	2	2
Peak1199656	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak1199657	2	2	2	4	4	4	4	4	4	4	4	4	2
Peak1199726	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1199734	2	2	2	2	2	2	4	4	4	5	5	5	2
Peak1199735	2	2	2	2	2	4	4	4	4	5	5	5	2
Peak1199764	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1199773	1	1	1	2	2	2	2	2	2	2	2	2	4
Peak1199780	4	4	5	5	5	5	5	5	5	5	5	5	6
Peak1199781	4	4	5	5	5	5	5	5	5	5	5	5	6
Peak1199782	4	4	4	5	5	5	5	5	5	5	5	5	6
Peak1199787	2	4	4	5	5	5	5	5	5	5	4	4	6
Peak1199788	2	4	4	4	5	5	5	5	5	5	4	4	6
Peak1199858	3	3	3	3	3	3	3	3	3	3	6	6	2
Peak1199859	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1199860	3	3	3	3	3	3	3	3	3	3	6	6	7
Peak1199861	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1200	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1200011	2	2	2	4	4	4	4	4	4	2	2	2	3
Peak1200012	2	2	2	2	4	4	4	4	4	2	2	2	3
Peak1200162	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1200206	6	6	6	6	6	6	6	5	5	5	5	5	6
Peak1200300	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1200336	1	1	1	1	1	1	1	1	2	4	4	4	1
Peak1200406	3	3	3	3	3	3	3	3	3	2	2	3	5
Peak1200407	3	3	3	3	3	3	3	3	3	2	2	3	4
Peak1200526	1	1	1	1	1	1	1	1	1	4	4	4	5
Peak1200530	1	1	1	1	1	2	2	4	4	5	5	4	1
Peak1200531	1	1	1	1	1	2	2	4	4	5	5	5	1
Peak1200563	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak1200678	4	4	4	4	4	2	2	2	3	3	3	3	4
Peak1200703	5	5	5	5	4	4	4	4	4	5	5	3	3
Peak1200704	5	5	5	5	4	4	4	4	4	5	5	5	6
Peak1200711	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1200712	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak12008	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak1200829	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak12009	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak1200958	1	2	1	1	1	1	1	1	1	1	1	2	5
Peak1200963	2	3	5	5	5	5	5	5	5	5	4	4	6
Peak1200964	2	3	5	5	5	5	5	5	5	4	4	4	6
Peak12010	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1201102	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1201103	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1201120	1	1	1	1	1	1	1	1	2	2	1	1	5
Peak1201167	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1201173	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak1201214	4	4	4	4	4	4	4	2	2	2	2	2	3
Peak1201244	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak1201245	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak1201407	4	4	2	2	2	2	2	2	2	2	2	1	4
Peak1201408	4	2	2	2	2	2	2	2	2	2	1	1	7
Peak1201409	2	2	2	2	2	2	2	2	2	1	1	1	7
Peak1201457	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak1201482	3	3	3	3	3	3	2	2	2	2	2	2	4
Peak1201483	3	3	3	3	3	3	3	2	2	2	2	2	4
Peak1201484	3	3	3	3	3	2	2	2	2	2	2	2	4
Peak1201486	2	2	2	2	1	1	1	2	2	2	2	2	5
Peak1201521	2	2	2	2	2	2	2	2	2	2	1	1	7
Peak1201584	3	3	3	3	3	3	3	3	3	3	6	6	3
Peak1201585	3	3	3	3	3	3	3	3	3	3	6	6	6
Peak1201586	3	3	3	3	3	3	3	3	3	6	6	6	6
Peak1201587	3	3	3	3	3	3	3	3	3	6	6	6	1
Peak120167	3	3	3	3	6	6	6	6	6	6	6	6	7
Peak1201699	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1201700	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1201701	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1201702	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1201712	4	4	4	4	4	4	4	2	2	2	2	1	3
Peak120172	6	6	6	6	6	6	6	6	6	6	5	5	1
Peak1201778	4	4	4	4	2	2	2	2	2	2	2	2	4
Peak1201779	4	4	4	2	2	2	2	2	2	2	2	2	4
Peak1201780	2	2	2	2	2	2	2	2	1	1	1	1	7
Peak1201861	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1201905	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1201906	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1201907	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1201919	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1201920	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1201934	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak1202011	5	5	5	5	5	5	5	5	5	5	6	6	6
Peak1202135	1	1	1	1	1	1	1	2	2	4	4	4	1
Peak1202138	1	1	1	1	1	2	2	2	4	4	4	4	1
Peak1202139	1	1	1	1	1	2	2	2	4	4	4	4	1
Peak1202140	1	1	1	1	1	1	2	2	4	4	4	4	1
Peak120226	3	3	3	3	3	3	3	3	3	3	5	5	6
Peak120227	3	3	3	3	3	3	3	5	5	5	5	5	6
Peak1202328	1	2	2	2	2	2	2	2	2	2	2	2	4
Peak1202329	1	2	2	2	2	2	2	2	2	2	2	2	7
Peak1202354	1	2	2	2	2	4	4	4	4	5	5	5	2
Peak1202414	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1202415	6	5	5	5	5	5	5	5	5	5	4	4	6
Peak1202439	4	4	4	4	4	4	4	5	5	5	5	5	3
Peak1202440	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak1202546	5	5	5	5	5	5	5	5	6	6	6	6	6
Peak1202656	1	1	1	1	1	2	1	1	1	1	1	1	5
Peak120275	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak120276	4	5	5	5	5	5	5	5	5	5	4	4	6
Peak1202774	6	6	6	3	3	3	6	6	6	6	6	6	5
Peak1202775	6	6	6	6	3	3	6	6	6	6	6	6	6
Peak120280	3	5	5	5	6	6	6	6	5	5	5	5	6
Peak120281	3	3	3	6	6	6	6	6	6	6	6	6	6
Peak120282	3	3	3	3	6	6	6	6	6	6	6	6	3
Peak1202836	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak120288	4	5	5	5	6	6	6	6	6	6	6	6	6
Peak1202898	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak1202899	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak1202932	3	3	3	3	3	3	3	3	6	6	6	6	3
Peak1202944	4	5	5	4	4	4	4	4	4	4	4	4	3
Peak1202965	1	1	2	2	4	4	4	4	4	4	4	4	2
Peak1202966	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1203023	5	5	5	5	5	6	6	6	6	6	6	6	6
Peak1203026	5	5	5	6	6	6	6	6	6	6	6	6	6
Peak1203136	5	5	5	4	4	4	4	4	4	2	2	2	3
Peak1203201	6	6	6	6	3	6	6	6	6	6	6	6	2
Peak1203265	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1203266	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1203357	1	2	2	2	2	2	2	2	2	1	1	1	7
Peak1203447	3	3	3	3	3	6	6	6	6	6	6	6	1
Peak1203455	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1203474	4	4	4	4	2	2	2	2	2	2	2	2	4
Peak1203475	4	4	4	4	2	2	2	2	2	2	2	2	4
Peak1203550	4	4	4	4	4	4	4	3	3	3	3	3	3
Peak1203551	4	4	4	4	4	4	4	4	4	3	3	3	3
Peak1203552	2	2	2	2	2	2	4	3	3	3	3	3	2
Peak1203580	2	4	4	4	4	4	4	2	2	2	2	2	3
Peak1203650	5	5	5	5	5	4	4	5	5	5	4	4	6
Peak1203651	5	5	5	5	5	4	4	4	5	5	4	4	6
Peak1203754	3	3	3	3	3	3	3	3	3	3	3	6	6
Peak1203813	4	2	2	2	2	2	2	2	2	2	2	4	4
Peak1203814	2	2	2	2	2	2	2	2	2	2	2	4	7
Peak1203851	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1203852	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1204079	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1204080	3	3	3	3	3	3	3	3	3	3	6	6	3
Peak1204081	3	3	3	3	3	3	3	3	3	3	6	6	2
Peak1204082	3	3	3	3	3	3	3	3	3	3	3	6	3
Peak1204216	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1204231	1	1	1	1	1	1	1	2	2	2	4	4	1
Peak1204283	2	2	4	4	4	4	4	4	4	4	2	2	3
Peak1204284	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1204493	1	2	4	4	4	4	4	4	4	4	4	4	3
Peak1204672	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1204683	5	5	5	5	6	6	6	6	6	6	6	6	6
Peak1204816	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak1204817	2	2	2	2	2	2	2	2	2	4	4	4	2
Peak1204824	4	2	4	4	4	4	4	4	4	4	4	4	3
Peak1204843	3	3	3	3	3	3	3	3	3	3	6	6	7
Peak1204844	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1204845	3	3	3	3	3	3	3	3	3	3	6	6	6
Peak1204846	3	3	3	3	3	3	3	3	3	3	6	6	4
Peak1204891	2	4	2	2	2	4	4	4	4	4	4	2	2
Peak1204953	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1204967	2	2	2	2	2	4	4	4	5	5	5	4	2
Peak1204968	2	2	2	2	2	4	4	4	5	5	5	4	2
Peak1204969	2	2	2	2	2	4	4	4	4	5	5	4	2
Peak1204970	2	2	2	2	2	4	4	4	4	4	4	4	2
Peak1204981	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak1204982	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak1204999	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1205000	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1205019	4	5	4	4	4	4	4	4	4	5	5	4	3
Peak1205020	5	5	5	5	4	4	4	4	4	5	4	4	6
Peak1205021	4	5	4	4	4	4	4	4	4	4	4	4	3
Peak1205040	4	4	4	4	4	4	4	4	4	4	4	5	3
Peak1205105	1	1	1	1	1	1	1	2	2	4	4	4	1
Peak1205106	1	1	1	1	1	1	1	2	4	4	4	4	1
Peak1205150	1	1	1	1	2	2	2	2	4	5	5	5	1
Peak1205152	1	1	1	1	1	2	2	2	4	5	5	5	1
Peak1205166	2	2	2	2	2	2	2	2	2	2	4	2	7
Peak1205182	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak1205183	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak120519	4	4	4	4	4	2	2	2	2	1	1	1	4
Peak1205282	1	1	1	1	2	2	4	4	5	5	5	5	1
Peak1205295	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1205296	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1205297	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1205298	4	4	4	4	4	4	4	4	4	5	5	5	3
Peak1205338	2	2	2	2	2	2	2	2	2	2	2	4	7
Peak1205368	1	1	1	1	2	2	4	4	5	5	5	5	1
Peak1205369	1	1	1	1	2	2	4	4	5	5	5	5	1
Peak1205426	4	5	4	4	4	4	4	2	2	4	2	2	3
Peak1205427	4	5	4	4	4	4	4	4	4	4	2	2	3
Peak1205499	5	5	5	5	4	4	4	4	4	4	4	4	3
Peak1205500	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak1205501	5	5	5	5	5	4	4	4	4	4	4	4	6
Peak1205547	5	5	5	5	4	4	4	4	5	5	5	5	6
Peak1205548	5	5	5	5	4	4	4	4	5	5	5	5	6
Peak1205549	5	5	5	5	4	4	4	4	5	5	5	5	6
Peak1205638	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak1205641	1	2	2	2	2	2	2	4	4	4	4	4	2
Peak1205642	1	1	1	1	1	2	2	2	2	4	4	4	1
Peak1205739	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1205740	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1205881	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak1205882	2	2	2	2	2	1	1	1	1	1	1	1	7
Peak1205916	2	2	2	4	4	4	2	2	4	4	4	4	2
Peak1205917	4	2	2	4	4	4	2	2	4	4	4	4	2
Peak1205918	2	2	2	2	4	4	2	2	4	4	4	4	2
Peak1206090	1	1	1	1	2	2	2	2	2	2	2	2	1
Peak1206103	2	2	2	2	2	2	2	2	2	4	2	2	7
Peak1206104	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak1206105	1	2	2	2	2	2	2	2	2	4	2	2	7
Peak1206129	1	1	1	1	2	2	2	2	2	2	2	2	4
Peak1206130	1	1	1	1	2	2	2	2	2	2	2	2	4
Peak1206216	1	1	1	1	2	2	2	2	2	2	2	2	1
Peak1206217	1	1	1	1	1	2	2	2	2	2	2	2	1
Peak1206258	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak1206259	1	1	1	1	1	1	1	1	1	1	1	2	5
Peak1206326	1	1	1	1	1	1	1	1	1	4	2	2	5
Peak1206443	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1206472	1	1	1	1	2	2	2	2	2	2	2	2	1
Peak1206623	1	1	1	2	2	2	2	4	4	2	2	2	4
Peak1206632	1	1	1	1	2	2	2	2	2	4	4	4	1
Peak1206633	1	1	1	1	2	2	2	2	2	4	4	4	1
Peak1206734	2	2	2	2	2	2	2	2	2	2	3	3	7
Peak1206744	4	4	4	4	4	4	4	4	4	4	3	3	3
Peak1206745	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1206747	4	4	4	4	4	4	4	4	4	2	2	3	3
Peak1206758	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1206764	2	2	2	2	2	2	2	1	1	1	1	1	7
Peak120677	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak120678	2	2	2	2	2	2	2	2	4	4	4	4	2
Peak1206806	2	2	2	2	2	2	2	2	2	5	5	5	7
Peak1206807	2	2	2	2	2	2	2	2	4	5	5	5	7
Peak1206808	2	2	2	2	2	2	2	2	2	4	5	5	7
Peak1206831	4	4	4	4	4	4	4	4	4	5	4	4	3
Peak1206832	4	4	4	4	4	4	5	5	5	5	5	4	3
Peak1206833	4	4	4	4	4	4	5	5	5	5	5	4	3
Peak1206847	1	1	1	1	1	1	2	2	2	4	4	4	1
Peak1207040	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1207041	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1207042	2	2	2	2	2	2	2	4	4	4	4	4	2
Peak1207072	4	4	4	4	4	4	4	2	2	2	2	1	4
Peak1207073	4	4	4	4	4	4	2	2	2	2	2	1	4
Peak1207088	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak1207089	2	2	2	2	4	4	4	4	4	4	4	4	2
Peak1207110	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1207111	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1207113	2	2	4	4	4	4	4	4	4	4	2	2	3
Peak1207247	5	4	4	4	4	4	4	4	4	2	2	2	3
Peak1207344	4	4	4	4	4	4	4	4	4	3	3	3	3
Peak1207371	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1207372	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1207373	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1207391	2	2	2	2	2	2	3	3	3	3	3	3	7
Peak1207392	2	2	2	2	2	2	2	2	2	2	3	3	7
Peak12074	4	4	4	4	4	4	4	4	4	4	3	3	3
Peak1207409	6	6	6	6	3	3	3	3	3	3	6	6	6
Peak1207410	6	6	6	6	3	3	3	3	3	3	6	6	1
Peak1207462	1	1	1	1	1	1	1	2	2	2	4	4	1
Peak1207463	1	1	1	1	1	1	1	2	2	2	4	4	1
Peak1207464	1	1	1	1	1	1	1	2	2	2	4	4	1
Peak1207737	1	1	1	1	2	1	1	2	2	2	2	2	5
Peak1207826	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1207840	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1207863	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1207864	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1207929	1	1	2	2	2	2	2	4	4	4	4	2	2
Peak1207930	1	1	2	2	2	2	2	4	4	4	4	2	2
Peak1207934	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1207957	2	2	2	2	2	4	4	4	2	4	4	4	2
Peak1207958	2	2	2	2	2	2	4	4	2	4	2	4	2
Peak1207981	4	2	2	2	2	2	2	2	2	2	2	2	4
Peak1208031	2	2	2	2	2	2	4	4	4	4	4	4	2
Peak1208048	3	3	5	5	5	5	5	5	5	5	5	5	6
Peak1208049	3	3	5	5	5	5	5	5	5	5	5	5	6
Peak1208176	2	4	4	4	4	4	5	5	5	5	5	5	3
Peak1208177	2	4	4	4	4	4	5	5	5	5	5	5	3
Peak1208180	1	2	2	2	4	4	4	4	4	5	5	4	2
Peak1208198	1	1	1	1	2	2	2	2	4	4	4	4	1
Peak1208199	1	1	1	1	2	2	2	4	4	4	5	5	1
Peak1208216	1	1	1	1	1	2	2	2	2	2	4	4	1
Peak1208231	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak1208232	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak1208265	1	1	1	1	1	1	1	2	2	4	5	5	1
Peak1208342	1	1	1	1	1	1	2	2	2	2	2	2	5
Peak1208355	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1208395	2	2	2	2	2	2	2	2	2	2	4	2	7
Peak1208487	2	2	2	2	2	2	2	2	2	4	4	5	7
Peak1208621	1	1	1	2	2	2	2	4	4	2	2	2	4
Peak1208622	1	1	2	2	2	2	2	4	4	2	2	2	2
Peak1208768	3	3	3	3	3	3	3	3	3	3	6	6	5
Peak1208769	3	3	3	3	3	3	3	3	3	3	6	6	3
Peak1208770	6	6	6	3	3	3	3	3	3	6	6	6	5
Peak1208771	3	3	3	3	3	3	3	3	3	5	5	5	6
Peak1208795	1	1	1	1	1	1	1	2	4	5	5	5	5
Peak1208800	2	2	2	2	2	2	4	4	4	5	5	5	2
Peak1208826	1	1	1	1	1	1	2	2	2	2	4	4	1
Peak1208881	2	2	1	1	1	1	1	2	2	2	2	2	5
Peak1208882	2	2	1	1	1	1	1	2	2	2	2	2	5
Peak1208906	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak1208999	2	2	2	2	2	2	2	2	2	4	4	4	7
Peak1209000	2	2	2	2	2	2	2	2	2	2	4	4	7
Peak1209083	6	6	6	6	6	6	5	5	5	5	5	5	6
Peak1209123	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209124	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209139	1	1	1	1	2	2	2	2	2	2	2	2	1
Peak1209221	1	1	1	1	1	1	1	2	2	2	2	4	5
Peak1209224	1	1	1	1	1	1	1	1	1	2	2	2	5
Peak1209295	3	3	3	3	3	3	3	3	6	6	6	6	5
Peak1209356	4	4	4	4	4	4	4	4	4	2	2	4	3
Peak1209463	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209472	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209586	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1209587	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1209588	1	1	1	1	1	1	1	1	1	1	2	2	5
Peak1209628	2	2	2	2	2	2	2	1	2	2	2	2	7
Peak1209670	2	2	2	2	2	2	2	2	2	2	2	1	7
Peak1209738	1	1	1	1	1	1	1	2	2	2	2	2	5
Peak1209746	2	2	4	4	4	4	4	4	5	5	5	5	3
Peak1209747	2	2	4	4	4	5	5	5	5	5	5	5	6
Peak1209748	2	2	4	4	4	5	5	5	5	5	5	5	6
Peak1209749	2	4	4	4	4	5	5	5	5	5	5	5	6
Peak1209766	2	4	4	4	4	2	2	2	2	2	2	2	4
Peak1209767	2	4	4	4	4	4	4	2	2	2	2	2	4
Peak1209768	2	4	4	4	4	4	2	2	2	2	2	2	4
Peak1209859	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209860	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209889	6	6	6	6	6	6	6	3	3	3	3	3	5
Peak1209890	6	6	6	6	6	6	6	3	3	3	3	3	6
Peak1209913	2	2	2	2	2	2	2	1	1	1	1	2	7
Peak1209922	2	2	4	4	2	4	4	4	4	4	2	2	3
Peak1209923	2	2	2	2	2	4	4	4	4	4	2	2	2
Peak1209937	1	1	1	1	1	1	1	1	2	2	2	2	5
Peak1209961	5	5	5	5	5	5	5	5	5	5	4	4	6
Peak1209962	5	5	5	5	4	4	4	4	4	4	4	4	6
Peak1209974	2	4	4	4	4	4	4	2	2	2	2	2	4
Peak1209975	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1210036	1	2	2	2	2	2	2	2	2	2	2	2	7
Peak121012	5	5	5	5	5	5	5	5	5	5	4	4	6
