H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168	tHMM_pf
Peak1005446	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1005447	4	5	5	5	5	5	5	5	5	4	4	4	6
Peak1005468	4	4	4	4	4	4	4	4	4	4	2	2	3
Peak1005488	4	2	2	4	4	4	4	4	4	4	4	4	3
Peak1005489	4	2	2	4	4	4	4	4	4	4	4	4	2
Peak1005581	2	4	4	4	4	4	4	4	5	5	5	5	3
Peak1005582	2	4	4	4	4	4	4	4	5	5	5	5	3
Peak1005583	2	4	4	4	4	4	4	4	5	5	5	5	3
Peak1005614	4	4	4	4	4	4	5	5	5	5	5	5	3
Peak100567	6	3	3	3	3	3	3	3	3	3	3	3	7
Peak1005745	4	4	4	4	4	4	4	4	4	2	2	2	3
Peak1005789	5	5	5	5	5	5	6	6	6	6	6	6	6
Peak1005841	5	5	5	5	5	5	5	5	4	4	4	4	6
Peak1005976	6	6	3	3	3	3	3	3	3	6	6	6	7
Peak1006023	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1006024	4	5	5	5	5	5	5	5	5	5	5	5	6
Peak1006072	5	5	5	5	3	3	6	6	6	6	6	6	6
Peak1006073	5	5	5	5	5	5	6	6	6	6	6	6	6
Peak1006074	5	5	5	5	5	5	5	5	5	6	6	6	6
Peak1006132	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak1006133	4	4	4	4	4	4	4	2	2	2	2	2	4
Peak1006171	4	4	4	4	4	4	4	5	5	5	5	5	3
Peak1006187	5	5	5	5	5	5	5	5	5	4	4	4	6
Peak1006188	5	5	4	4	4	4	4	4	4	4	4	4	3
Peak1006250	5	3	5	5	5	5	5	5	5	5	4	4	6
Peak1006251	5	3	5	5	5	5	5	5	5	5	4	4	6
Peak1006270	6	6	5	5	5	5	5	5	5	5	5	5	6
Peak1006287	5	5	5	5	5	5	5	5	4	4	4	4	6
Peak1006293	6	6	6	6	6	3	6	6	6	6	6	6	3
Peak1006455	2	4	4	4	4	4	4	4	4	4	4	4	3
Peak1006493	4	4	4	4	4	4	4	4	5	5	5	4	3
Peak1006598	2	2	2	2	4	4	4	4	4	4	2	2	2
Peak1006788	5	5	5	5	5	5	5	3	3	3	3	5	6
Peak1006871	6	6	6	6	6	6	6	6	6	5	5	5	6
