H000	H003	H006	H009	H012	H018	H024	H036	H048	H072	H120	H168
Peak1001507	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001508	5	5	5	5	5	5	5	5	5	5	5	5
Peak100151	1	1	1	1	1	1	1	1	1	1	1	1
Peak1001520	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001521	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001538	6	6	3	3	3	6	6	6	6	6	6	6
Peak100154	1	1	1	1	1	1	1	1	1	1	1	1
Peak1001550	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001551	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001572	4	5	5	5	5	5	5	5	5	5	4	4
Peak1001582	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001583	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001584	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001658	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001665	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001666	5	5	5	5	5	6	6	6	6	6	6	6
Peak1001688	5	5	5	5	5	5	5	5	5	6	6	6
Peak1001689	5	5	5	5	5	5	5	5	5	6	6	6
Peak1001690	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001691	5	5	5	5	5	5	5	5	5	6	6	6
Peak1001720	3	3	3	3	3	3	3	3	3	3	3	3
Peak1001721	3	3	3	3	3	3	3	3	3	3	3	3
Peak1001755	4	4	4	4	4	4	4	4	4	4	4	4
Peak1001796	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001797	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001855	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001856	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001857	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001929	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001930	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001970	5	5	5	5	5	5	5	5	5	5	5	5
Peak1001971	6	6	6	6	6	6	6	6	6	6	6	6
Peak1001972	6	6	6	6	6	6	6	6	6	6	6	6
Peak1002014	3	3	3	3	3	3	3	3	3	3	3	3
